Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Hibiscus_syriacus,Rose of Sharon,Hibiscus Syriacus,,,,,,,
https://en.wikipedia.org/wiki/Hydrangea_macrophylla,Hydrangea,Hydrangea Macrophylla,,,,,,,
https://en.wikipedia.org/wiki/Hydrangea_quercifolia,Oakleaf Hydrangea,Hydrangea Quercifolia,,,,,,,
https://en.wikipedia.org/wiki/Hypericum_calycinum,Creeping St. Johnswort,Hypericum Calycinum,,,,,,,
https://en.wikipedia.org/wiki/ilex_decidua,Possumhaw Holly,Ilex Decidua,,,,,,,
https://en.wikipedia.org/wiki/Ilex_vomitoria,Yaupon Holly,Ilex Vomitoria,,,,,,,
https://en.wikipedia.org/wiki/Jasminum_officinale,Common Jasmine,Jasminum Officinale,,,,,,,
https://en.wikipedia.org/wiki/juniperus_horizontalis,Andorra Juniper,Juniperus Horizontalis,,,,,,,
https://en.wikipedia.org/wiki/juniperus_scopulorum,Wichita Blue Juniper,Juniperus Scopulorum,,,,,,,
https://en.wikipedia.org/wiki/Juniperus_virginiana,Red Cedar,Juniperus Virginiana,,,,,,,
https://en.wikipedia.org/wiki/lagerstroemia_indica,Crapemyrtle,Lagerstroemia Indica,,,,,,,
https://en.wikipedia.org/wiki/Lantana_camara,Lantana,Lantana Camara,,,,,,,
https://en.wikipedia.org/wiki/lantana_urticoides,Texas Lantana,Lantana Urticoides,,,,,,,
https://en.wikipedia.org/wiki/Lavandula_angustifolia,Lavender,Lavandula Angustifolia,,,,,,,
https://en.wikipedia.org/wiki/Leucophyllum_frutescens,Texas Sage,Leucophyllum Frutescens,,,,,,,
https://en.wikipedia.org/wiki/Liriope_muscari,Liriope,Liriope Muscari,,,,,,,
https://en.wikipedia.org/wiki/Lonicera_japonica,Honeysuckle,Lonicera Japonica,,,,,,,
https://en.wikipedia.org/wiki/Lonicera_pileata,Privet Honeysuckle,Lonicera Pileata,,,,,,,
https://en.wikipedia.org/wiki/Lonicera_sempervirens,Coral Honeysuckle,Lonicera Sempervirens,,,,,,,
https://en.wikipedia.org/wiki/Lonicera_tatarica,Red Honeysuckle,Lonicera Tatarica,,,,,,,
https://en.wikipedia.org/wiki/Lunaria_annua,Money Plant,Lunaria Annua,,,,,,,
https://en.wikipedia.org/wiki/Lupinus_texensis,Bluebonnet,Lupinus Texensis,,,,,,,
https://en.wikipedia.org/wiki/magnolia_soulangeana,Deciduous Magnolia,Magnolia Soulangeana,,,,,,,
https://en.wikipedia.org/wiki/Malvaviscus_arboreus var. drummondii,Turk's Cap,Malvaviscus Arboreus var. drummondii,,,,,,,
https://en.wikipedia.org/wiki/Melampodium_leucanthum,Black Foot Daisy,Melampodium Leucanthum,,,,,,,
https://en.wikipedia.org/wiki/Lemon_balm,Lemon Balm,Melissa Officinalis,,,,,,,
https://en.wikipedia.org/wiki/Spearmint,Spearmint,Mentha Spicata,,,,,,,
https://en.wikipedia.org/wiki/miscanthus_sinensis,Maiden Grass,Miscanthus Sinensis,,,,,,,
https://en.wikipedia.org/wiki/miscanthus_sinensis,Zebra Grass,Miscanthus Sinensis,,,,,,,
https://en.wikipedia.org/wiki/Muhlenbergia_capillaris,Hairawn Muhly,Muhlenbergia Capillaris,,,,,,,
https://en.wikipedia.org/wiki/Muhlenbergia_capillaris,Pink Muhly Grass,Muhlenbergia Capillaris,,,,,,,
https://en.wikipedia.org/wiki/Muhlenbergia_dumosa,Muhly Grass,Muhlenbergia Dumosa,,,,,,,
https://en.wikipedia.org/wiki/Muhlenbergia_lindheimeri,Big Muhly Grass,Muhlenbergia Lindheimeri,,,,,,,
https://en.wikipedia.org/wiki/myrica_cerifera,Wax Myrtle,Myrica Cerifera,,,,,,,
https://en.wikipedia.org/wiki/Nandina,Heavenly Bamboo,Nandina Domestica,,,,,,,
https://en.wikipedia.org/wiki/nassella_tenuissima,Mexican Feather Grass,Nassella Tenuissima,,,,,,,
https://en.wikipedia.org/wiki/Nephrolepis_exaltata,Boston Fern,Nephrolepis Exaltata,,,,,,,
https://en.wikipedia.org/wiki/Nerium_oleander,Oleander,Nerium Oleander,,,,,,,
https://en.wikipedia.org/wiki/Opuntia_chlorotica,Pancake Prickly Pear Cactus,Opuntia Chlorotica,,,,,,,
https://en.wikipedia.org/wiki/Optuntia_Ellisiana,Spineless Prickly Pear Cactus,Opuntia Ellisiana,,,,,,,
https://en.wikipedia.org/wiki/Opuntia_ficus-indica,Mission Cactus,Opuntia Ficus-indica,,,,,,,
https://en.wikipedia.org/wiki/Opuntia_microdasys,Bunny Ears Cactus,Opuntia Microdasys,,,,,,,
https://en.wikipedia.org/wiki/Opuntia_rufida,Blind Prickly Pear Cactus,Opuntia Rufida,,,,,,,
https://en.wikipedia.org/wiki/Pavonia_lasiopetala,Rock Rose,Pavonia Lasiopetala,,,,,,,
https://en.wikipedia.org/wiki/Pelargonium_citrosum,Citronella,Pelargonium Citrosum,,,,,,,
https://en.wikipedia.org/wiki/pennisetum_alopecuroides,Dwarf Hameln Grass,Pennisetum Alopecuroides,,,,,,,
https://en.wikipedia.org/wiki/Phlomis_fruticosa,Jerusalem Sage,Phlomis Fruticosa,,,,,,,
https://en.wikipedia.org/wiki/Phlox_divaricata,Woodland Phlox,Phlox Divaricata,,,,,,,
https://en.wikipedia.org/wiki/Phlox_drummondii,Phlox,Phlox Drummondii,,,,,,,
https://en.wikipedia.org/wiki/Phlox_paniculata,Garden Phlox,Phlox Paniculata,,,,,,,
https://en.wikipedia.org/wiki/Phoenix_canariensis,Canary Island Date Palm,Phoenix Canariensis,,,,,,,
https://en.wikipedia.org/wiki/Phoenix_dactylifera,Date Palm,Phoenix Dactylifera,,,,,,,
https://en.wikipedia.org/wiki/Phoenix_reclinata,Reclinata Palm,Phoenix Reclinata,,,,,,,
https://en.wikipedia.org/wiki/Phoenix_roebelenii,Pigmy Date Palm,Phoenix Roebelenii,,,,,,,
https://en.wikipedia.org/wiki/phyla_nodiflora,Frog Foot,Phyla Nodiflora,,,,,,,
https://en.wikipedia.org/wiki/Picea_glauca,White Spruce,Picea Glauca,,,,,,,
https://en.wikipedia.org/wiki/pinus_eldarica,Eldarica Pine,Pinus Eldarica,,,,,,,
https://en.wikipedia.org/wiki/pyrus_calleryana,Bradford Pear,Pyrus Calleryana,,,,,,,
https://en.wikipedia.org/wiki/Quercus_macrocarpa,Bur Oak,Quercus Macrocarpa,,,,,,,
https://en.wikipedia.org/wiki/Quercus_muehlenbergii,Chinquapin Oak,Quercus Muehlenbergii,,,,,,,
https://en.wikipedia.org/wiki/Quercus_texana,Texas Red Oak,Quercus Texana,,,,,,,
https://en.wikipedia.org/wiki/Quercus_virginiana,Live Oak,Quercus Virginiana,,,,,,,
https://en.wikipedia.org/wiki/Rhododendron_japonicum,Japanese Azalea,Rhododendron Japonicum,,,,,,,
https://en.wikipedia.org/wiki/Rhododendron_viscosum,Swamp Azalea,Rhododendron Viscosum,,,,,,,
https://en.wikipedia.org/wiki/Rosa_carolina,Carolina Rose,Rosa Carolina,,,,,,,
https://en.wikipedia.org/wiki/Rosa_rugosa,Rugosa Rose,Rosa Rugosa,,,,,,,
https://en.wikipedia.org/wiki/Rosmarinus_officinalis,Rosemary,Rosmarinus Officinalis,,,,,,,
https://en.wikipedia.org/wiki/Rubus_idaeus,Raspberry,Rubus Idaeus,,,,,,,
https://en.wikipedia.org/wiki/Rudbeckia_fulgida,Rudbeckia,Rudbeckia Fulgida,,,,,,,
https://en.wikipedia.org/wiki/Sabal_minor,Dwarf Palmetto,Sabal Minor,,,,,,,
https://en.wikipedia.org/wiki/Salvia_farinacea,Blue Salvia,Salvia Farinacea,,,,,,,
https://en.wikipedia.org/wiki/Salvia_greggii,Autumn Sage,Salvia Greggii,,,,,,,
https://en.wikipedia.org/wiki/salvia_guaranitica,Black & Blue Salvia,Salvia Guaranitica,,,,,,,
https://en.wikipedia.org/wiki/Salvia_leucantha,Mexican Bush Sage,Salvia Leucantha,,,,,,,
https://en.wikipedia.org/wiki/salvia_lyrata,Lyre Leaf Sage,Salvia Lyrata,,,,,,,
https://en.wikipedia.org/wiki/Salvia_microphylla,Baby Sage,Salvia Microphylla,,,,,,,
https://en.wikipedia.org/wiki/Salvia_officinalis,Common Green Sage,Salvia Officinalis,,,,,,,
https://en.wikipedia.org/wiki/Salvia_pachyphylla,Mojave Sage,Salvia Pachyphylla,,,,,,,
https://en.wikipedia.org/wiki/Salvia_spathacea,Hummingbird Sage,Salvia Spathacea,,,,,,,
https://en.wikipedia.org/wiki/Salvia_splendens,Salvia,Salvia Splendens,,,,,,,
https://en.wikipedia.org/wiki/Sambucus_racemosa,Red Elderberry,Sambucus Racemosa,,,,,,,
https://en.wikipedia.org/wiki/Santolina_chamaecyparissus,Gray Lavender Cotton,Santolina Chamaecyparissus,,,,,,,
https://en.wikipedia.org/wiki/Schizachyrium_scoparium,Little Bluestem Grass,Schizachyrium Scoparium,,,,,,,
https://en.wikipedia.org/wiki/Schlumbergera_truncata,Christmas Cactus,Schlumbergera Truncata,,,,,,,
https://en.wikipedia.org/wiki/Scutellaria_ovata,Heartleaf Skullcap,Scutellaria Ovata,,,,,,,
https://en.wikipedia.org/wiki/Sedum_Mexicanum,Lemon Ball Sedum,Sedum Mexicanum,,,,,,,
https://en.wikipedia.org/wiki/sophora_affinis,Eve Necklace,Sophora Affinis,,,,,,,
https://en.wikipedia.org/wiki/Dermatophyllum_secundiflorum,Texas Mountain Laurel,Sophora Secundiflora,,,,,,,
https://en.wikipedia.org/wiki/Sorghastrum_nutans,Indian Grass,Sorghastrum Nutans,,,,,,,
https://en.wikipedia.org/wiki/Spathiphyllum_Cochlearispathum,Peace Lily,Spathiphyllum Cochlearispathum,,,,,,,
