Plantname,Category,Unit,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10,Wiki link,Evidence (Source text/Sentence)
Buxus_microphylla,Shrub,in,0.39,0.98,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,"It is a dwarf evergreen shrub or small tree growing to 1 m ( 3.3 ft ) tall and wide .The bright green leaf are 10–25 millimetre ( 0.39–0.98 in ) long , oval with a rounded or notched tip ."
Buxus_microphylla,Shrub,ft,3.3,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,"It is a dwarf evergreen shrub or small tree growing to 1 m ( 3.3 ft ) tall and wide .The bright green leaf are 10–25 millimetre ( 0.39–0.98 in ) long , oval with a rounded or notched tip ."
Buxus_microphylla,Shrub,m,1.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,"It is a dwarf evergreen shrub or small tree growing to 1 m ( 3.3 ft ) tall and wide .The bright green leaf are 10–25 millimetre ( 0.39–0.98 in ) long , oval with a rounded or notched tip ."
Buxus_microphylla,Shrub,ft,3.3,4.9,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,The cultivar ‘ Faulkner ’ ( 1 metre ( 3.3 ft ) tall by 1.5 metre ( 4.9 ft ) broad ) ha gained the Royal Horticultural Society ’ s Award of Garden Merit .
Buxus_microphylla,Shrub,m,1.0,1.5,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,The cultivar ‘ Faulkner ’ ( 1 metre ( 3.3 ft ) tall by 1.5 metre ( 4.9 ft ) broad ) ha gained the Royal Horticultural Society ’ s Award of Garden Merit .
Buxus_sempervirens,Shrub,in,8.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_sempervirens,"== Description == Buxus sempervirens is an evergreen shrub or small tree growing up to 1 to 9 m ( 3 to 30 ft ) tall , with a trunk up to 20 centimetre ( 8 in ) in diameter ( exceptionally to 10 m tall and 45 cm diameter ) ."
Buxus_sempervirens,Shrub,cm,20.0,45.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_sempervirens,"== Description == Buxus sempervirens is an evergreen shrub or small tree growing up to 1 to 9 m ( 3 to 30 ft ) tall , with a trunk up to 20 centimetre ( 8 in ) in diameter ( exceptionally to 10 m tall and 45 cm diameter ) ."
Buxus_sempervirens,Shrub,ft,3.0,30.0,30.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_sempervirens,"== Description == Buxus sempervirens is an evergreen shrub or small tree growing up to 1 to 9 m ( 3 to 30 ft ) tall , with a trunk up to 20 centimetre ( 8 in ) in diameter ( exceptionally to 10 m tall and 45 cm diameter ) ."
Buxus_sempervirens,Shrub,m,1.0,9.0,9.0,10.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_sempervirens,"== Description == Buxus sempervirens is an evergreen shrub or small tree growing up to 1 to 9 m ( 3 to 30 ft ) tall , with a trunk up to 20 centimetre ( 8 in ) in diameter ( exceptionally to 10 m tall and 45 cm diameter ) ."
Buxus_sempervirens,Shrub,in,8.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_sempervirens,"== Description == Buxus sempervirens is an evergreen shrub or small tree growing up to 1 to 9 m ( 3 to 30 ft ) tall , with a trunk up to 20 centimetre ( 8 in ) in diameter ( exceptionally to 10 m tall and 45 cm diameter ) ."
Buxus_sempervirens,Shrub,cm,20.0,45.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_sempervirens,"== Description == Buxus sempervirens is an evergreen shrub or small tree growing up to 1 to 9 m ( 3 to 30 ft ) tall , with a trunk up to 20 centimetre ( 8 in ) in diameter ( exceptionally to 10 m tall and 45 cm diameter ) ."
Buxus_sempervirens,Shrub,ft,3.0,30.0,30.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_sempervirens,"== Description == Buxus sempervirens is an evergreen shrub or small tree growing up to 1 to 9 m ( 3 to 30 ft ) tall , with a trunk up to 20 centimetre ( 8 in ) in diameter ( exceptionally to 10 m tall and 45 cm diameter ) ."
Buxus_sempervirens,Shrub,m,1.0,9.0,9.0,10.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_sempervirens,"== Description == Buxus sempervirens is an evergreen shrub or small tree growing up to 1 to 9 m ( 3 to 30 ft ) tall , with a trunk up to 20 centimetre ( 8 in ) in diameter ( exceptionally to 10 m tall and 45 cm diameter ) ."
Caladium,Perennial,cm,15.0,40.0,45.0,90.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Caladium,"The wild plant grow to 15–35 inch ( 40–90 cm ) tall , with leaf mostly 6-18 inch ( 15–45 cm ) long and broad ."
Callicarpa_americana,Shrub,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Callicarpa_americana,x
Calyptocarpus,Ground Cover,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Calyptocarpus,x
Carex_tumulicola,Grass (Ornamental),cm,61.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Carex_tumulicola,"It ha a height and width of 2 foot ( 61 cm ) , and is slowly spreading ."
Carex_tumulicola,Grass (Ornamental),ft,2.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Carex_tumulicola,"It ha a height and width of 2 foot ( 61 cm ) , and is slowly spreading ."
Cercis_canadensis,Tree,ft,20.0,26.0,30.0,33.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cercis_canadensis,== Description == The eastern redbud typically grows to 6–9 m ( 20–30 ft ) tall with an 8–10 m ( 26–33 ft ) spread .
Cercis_canadensis,Tree,m,6.0,8.0,9.0,10.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cercis_canadensis,== Description == The eastern redbud typically grows to 6–9 m ( 20–30 ft ) tall with an 8–10 m ( 26–33 ft ) spread .
Cercis_canadensis,Tree,ft,16.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cercis_canadensis,A 10-year-old tree will generally be around 5 m ( 16 ft ) tall .
Cercis_canadensis,Tree,m,5.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cercis_canadensis,A 10-year-old tree will generally be around 5 m ( 16 ft ) tall .
Chamaemelum_nobile,Herb,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Chamaemelum_nobile,x
Chasmanthium_latifolium,Perennial,ft,3.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Chasmanthium_latifolium,"== Description == Chasmanthium latifolium is a cool-season , rhizomatous perennial grass with stem about 1 m [ 3 foot ] tall ."
Chasmanthium_latifolium,Perennial,m,1.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Chasmanthium_latifolium,"== Description == Chasmanthium latifolium is a cool-season , rhizomatous perennial grass with stem about 1 m [ 3 foot ] tall ."
Chilopsis,Tree,m,8.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Chilopsis,"== Description == Ranging from 1.5 to a much a 8 meter in height , it can take the form of a shrub or small tree ."
Chrysactinia_mexicana,Perennial,cm,80.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Chrysactinia_mexicana,"It ha been found in Texas , New Mexico , Aguascalientes , Chihuahua , Coahuila , Durango , Guanajuato , Hidalgo , México State , Nuevo León , Oaxaca , Puebla , Querétaro , San Luis Potosí , Zacatecas , Tamaulipas , and Veracruz.Chrysactinia mexicana is an evergreen subshrub up to 80 cm ( 32 inch ) tall ."
Meyer_lemon,Fruit,ft,6.0,10.0,10.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Meyer_lemon,It is a cross between a citron and a mandarin/pomelo hybrid distinct from the common or bitter oranges.Mature tree are around 6 to 10 ft ( 2 to 3 m ) tall with dark green shiny leaf .
Meyer_lemon,Fruit,m,2.0,3.0,3.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Meyer_lemon,It is a cross between a citron and a mandarin/pomelo hybrid distinct from the common or bitter oranges.Mature tree are around 6 to 10 ft ( 2 to 3 m ) tall with dark green shiny leaf .
Meyer_lemon,Fruit,ft,6.0,10.0,10.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Meyer_lemon,"== Description == Citrus × meyeri tree are around 6 to 10 ft ( 2 to 3 m ) tall at maturity , though they can be pruned smaller ."
Meyer_lemon,Fruit,m,2.0,3.0,3.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Meyer_lemon,"== Description == Citrus × meyeri tree are around 6 to 10 ft ( 2 to 3 m ) tall at maturity , though they can be pruned smaller ."
Cordyline_australis,Perennial,ft,3.3,66.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_australis,"It grows up to 20 metre ( 66 foot ) tall with a stout trunk and sword-like leaf , which are clustered at the tip of the branch and can be up to 1 metre ( 3.3 foot ) long ."
Cordyline_australis,Perennial,m,1.0,20.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_australis,"It grows up to 20 metre ( 66 foot ) tall with a stout trunk and sword-like leaf , which are clustered at the tip of the branch and can be up to 1 metre ( 3.3 foot ) long ."
Cordyline_australis,Perennial,ft,30.0,56.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_australis,"It is estimated to be 400 or 500 year old , and stand 17 metre ( 56 foot ) tall with a circumference of 9 metre ( 30 foot ) at the base.Known to Māori a tī kōuka , the tree wa used a a source of food , particularly in the South Island , where it wa cultivated in area where other crop would not grow ."
Cordyline_australis,Perennial,m,9.0,17.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_australis,"It is estimated to be 400 or 500 year old , and stand 17 metre ( 56 foot ) tall with a circumference of 9 metre ( 30 foot ) at the base.Known to Māori a tī kōuka , the tree wa used a a source of food , particularly in the South Island , where it wa cultivated in area where other crop would not grow ."
Cordyline_australis,Perennial,ft,4.9,6.6,6.6,66.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_australis,== Description == Cordyline australis grows up to 20 metre ( 66 foot ) tall with a stout trunk 1.5 to 2 metre ( 4.9 to 6.6 ft ) in diameter .
Cordyline_australis,Perennial,m,1.5,2.0,2.0,20.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_australis,== Description == Cordyline australis grows up to 20 metre ( 66 foot ) tall with a stout trunk 1.5 to 2 metre ( 4.9 to 6.6 ft ) in diameter .
Cordyline_australis,Perennial,ft,6.6,26.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_australis,"Of these , the commonest are C. banksii , which ha a slender , sweeping trunk , and C. indivisa , a handsome plant with a trunk up to 8 metre ( 26 foot ) tall bearing a massive head of broad leaf up to 2 metre ( 6.6 foot ) long ."
Cordyline_australis,Perennial,m,2.0,8.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_australis,"Of these , the commonest are C. banksii , which ha a slender , sweeping trunk , and C. indivisa , a handsome plant with a trunk up to 8 metre ( 26 foot ) tall bearing a massive head of broad leaf up to 2 metre ( 6.6 foot ) long ."
Cordyline_fruticosa,Houseplant,ft,9.8,13.1,13.1,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_fruticosa,== Description == Ti is a palm-like plant growing up to 3 to 4 m ( 9.8 to 13.1 ft ) tall with an attractive fan-like and spirally arranged cluster of broadly elongated leaf at the tip of the slender trunk .
Cordyline_fruticosa,Houseplant,m,3.0,4.0,4.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cordyline_fruticosa,== Description == Ti is a palm-like plant growing up to 3 to 4 m ( 9.8 to 13.1 ft ) tall with an attractive fan-like and spirally arranged cluster of broadly elongated leaf at the tip of the slender trunk .
Coreopsis_grandiflora,Perennial,cm,60.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coreopsis_grandiflora,The specie is widely cultivated in China and naturalized there.Coreopsis grandiflora is a perennial sometimes greater than 60 cm ( 2 foot ) tall .
Coreopsis_grandiflora,Perennial,ft,2.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Coreopsis_grandiflora,The specie is widely cultivated in China and naturalized there.Coreopsis grandiflora is a perennial sometimes greater than 60 cm ( 2 foot ) tall .
