Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Quercus_palustris,Pin Oak,Quercus Palustris,,,,,,,
https://en.wikipedia.org/wiki/Quercus_phellos,Willow Oak,Quercus Phellos,,,,,,,
https://en.wikipedia.org/wiki/Quercus_polymorpha,Monterey Oak,Quercus Polymorpha,,,,,,,
https://en.wikipedia.org/wiki/Quercus_rubra,Northern Red Oak,Quercus Rubra,,,,,,,
https://en.wikipedia.org/wiki/Quercus_shumardii,Shumard Oak,Quercus Shumardii,,,,,,,
https://en.wikipedia.org/wiki/Quisqualis_indica,Rangoon Creeper,Quisqualis Indica,,,,,,,
https://en.wikipedia.org/wiki/Radermachera_sinica,China Doll,Radermachera Sinica,,,,,,,
https://en.wikipedia.org/wiki/Ratibida_pinnata,Prairie Coneflower,Ratibida Pinnata,,,,,,,
https://en.wikipedia.org/wiki/Ravenala_madagascariensis,Travelers Tree,Ravenala Madagascariensis,,,,,,,
https://en.wikipedia.org/wiki/Rhaphiolepis_indica,Indian Hawthorn,Rhaphiolepis Indica,,,,,,,
https://en.wikipedia.org/wiki/Rhapidophyllum_hystrix,Needle Palm,Rhapidophyllum Hystrix,,,,,,,
https://en.wikipedia.org/wiki/Rhapis_excelsa,Lady Palm,Rhapis Excelsa,,,,,,,
https://en.wikipedia.org/wiki/Rhus_glabra,Smooth Sumac,Rhus Glabra,,,,,,,
https://en.wikipedia.org/wiki/Rhus_lancea,African Sumac,Rhus Lancea,,,,,,,
https://en.wikipedia.org/wiki/Rhus_trilobata,Sumac,Rhus Trilobata,,,,,,,
https://en.wikipedia.org/wiki/Ribes_alpinum,Alpine Currant,Ribes Alpinum,,,,,,,
https://en.wikipedia.org/wiki/Ribes_nigrum,Black Currant,Ribes Nigrum,,,,,,,
https://en.wikipedia.org/wiki/Roystonea_regia,Florida Royal Palm,Roystonea Regia,,,,,,,
https://en.wikipedia.org/wiki/Rudbeckia_laciniata,Cutleaf Conefower,Rudbeckia Laciniata,,,,,,,
https://en.wikipedia.org/wiki/Rudbeckia_maxima,Great Coneflower,Rudbeckia Maxima,,,,,,,
