Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Helianthus_divaricatus,Woodland Sunflower,Helianthus Divaricatus,,,,,,,
https://en.wikipedia.org/wiki/Helichrysum_petiolare,Silver Helichrysum,Helichrysum Petiolare,,,,,,,
https://en.wikipedia.org/wiki/Heliconia_psittacorum,Heliconia,Heliconia Psittacorum,,,,,,,
https://en.wikipedia.org/wiki/Heliconia_rostrata,Lobster Claw,Heliconia Rostrata,,,,,,,
https://en.wikipedia.org/wiki/Heliopsis_helianthoides,Summer Sun Sundrops,Heliopsis Helianthoides,,,,,,,
https://en.wikipedia.org/wiki/Heliotropium_arborescens,Heliotrope,Heliotropium Arborescens,,,,,,,
https://en.wikipedia.org/wiki/Hemigraphis_alternata,Red Flame Ivy,Hemigraphis Alternata,,,,,,,
https://en.wikipedia.org/wiki/Herniaria_glabra,Green Carpet,Herniaria Glabra,,,,,,,
https://en.wikipedia.org/wiki/Heuchera_americana,Heuchera,Heuchera Americana,,,,,,,
https://en.wikipedia.org/wiki/Heuchera_micrantha,Coral Bells,Heuchera Micrantha,,,,,,,
https://en.wikipedia.org/wiki/Hibiscus_acetosella,Red Leaf Swamp Hibiscus,Hibiscus Acetosella,,,,,,,
https://en.wikipedia.org/wiki/Hibiscus_rosa-sinensis,Hibiscus,Hibiscus Rosa-sinensis,,,,,,,
https://en.wikipedia.org/wiki/Hibiscus_sabdariffa,Florida Cranberry,Hibiscus Sabdariffa,,,,,,,
https://en.wikipedia.org/wiki/Holmskioldia_sanguinea,Chinese Hat,Holmskioldia Sanguinea,,,,,,,
https://en.wikipedia.org/wiki/Hosta_ventricosa,Blue-Green Plantain Lily,Hosta Ventricosa,,,,,,,
https://en.wikipedia.org/wiki/Houttuynia_cordata,Chameleon Plant,Houttuynia Cordata,,,,,,,
https://en.wikipedia.org/wiki/Hoya_carnosa,Wax Plant,Hoya Carnosa,,,,,,,
https://en.wikipedia.org/wiki/Humulus_lupulus,Common Hop,Humulus Lupulus,,,,,,,
https://en.wikipedia.org/wiki/Hyacinthus_orientalis,Hyacinth,Hyacinthus Orientalis,,,,,,,
https://en.wikipedia.org/wiki/Hydrangea_arborescens,Smooth Hydrangea,Hydrangea Arborescens,,,,,,,
