Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Hylocereus_undatus,Dragon Fruit (White Flesh),Hylocereus Undatus,,,,,,,
https://en.wikipedia.org/wiki/Iberis_gibraltarica,Gibraltar Candytuft,Iberis Gibraltarica,,,,,,,
https://en.wikipedia.org/wiki/Iberis_sempervirens,Candytuft,Iberis Sempervirens,,,,,,,
https://en.wikipedia.org/wiki/Ilex_cornuta,Chinese Holly,Ilex Cornuta,,,,,,,
https://en.wikipedia.org/wiki/Ilex_crenata,Dwarf Japanese Holly,Ilex Crenata,,,,,,,
https://en.wikipedia.org/wiki/Ilex_verticillata,Winterberry Holly,Ilex Verticillata,,,,,,,
https://en.wikipedia.org/wiki/Illicium_floridanum,Florida Anise,Illicium Floridanum,,,,,,,
https://en.wikipedia.org/wiki/Illicium_parviflorum,Japanese Anise,Illicium Parviflorum,,,,,,,
https://en.wikipedia.org/wiki/Incarvillea_delavayi,Hardy Gloxinia,Incarvillea Delavayi,,,,,,,
https://en.wikipedia.org/wiki/Indigofera_decora,Chinese Indigo,Indigofera Decora,,,,,,,
https://en.wikipedia.org/wiki/Indigofera_kirilowii,Pink Indigo,Indigofera Kirilowii,,,,,,,
https://en.wikipedia.org/wiki/Ipomoea_batatas,Purple Sweet Potato Vine,Ipomoea Batatas,,,,,,,
https://en.wikipedia.org/wiki/Ipomoea_nil,Morning Glory,Ipomoea Nil,,,,,,,
https://en.wikipedia.org/wiki/Ipomoea_purpurea,Tall Morning Glory,Ipomoea Purpurea,,,,,,,
https://en.wikipedia.org/wiki/Ipomoea_quamoclit,Cardinal Climber Vine,Ipomoea Quamoclit,,,,,,,
https://en.wikipedia.org/wiki/Iris_cristata,Dwarf Crested Iris,Iris Cristata,,,,,,,
https://en.wikipedia.org/wiki/Iris_germanica,Bearded Iris,Iris Germanica,,,,,,,
https://en.wikipedia.org/wiki/Iris_pseudacorus,Yellow Flag Iris,Iris Pseudacorus,,,,,,,
https://en.wikipedia.org/wiki/Iris_pumila,Dwarf Bearded Iris,Iris Pumila,,,,,,,
https://en.wikipedia.org/wiki/Iris_reticulata,Reticulated Iris,Iris Reticulata,,,,,,,
https://en.wikipedia.org/wiki/Iris_sibirica,Siberian Iris,Iris Sibirica,,,,,,,
https://en.wikipedia.org/wiki/Iris_versicolor,Versicolor Iris,Iris Versicolor,,,,,,,
https://en.wikipedia.org/wiki/Iris_virginica,Virginia Blue Flag,Iris Virginica,,,,,,,
