Botanical Name,Page Name,Category,Wikilink
Iris Pseudacorus,Iris_pseudacorus,Perennial,https://en.wikipedia.org/wiki/Iris_pseudacorus
Iris Pumila,Iris_pumila,Perennial,https://en.wikipedia.org/wiki/Iris_pumila
Iris Reticulata,Iris_reticulata,Perennial,https://en.wikipedia.org/wiki/Iris_reticulata
Iris Sibirica,Iris_sibirica,Perennial,https://en.wikipedia.org/wiki/Iris_sibirica
Iris Versicolor,Iris_versicolor,Perennial,https://en.wikipedia.org/wiki/Iris_versicolor
Iris Virginica,Iris_virginica,Perennial,https://en.wikipedia.org/wiki/Iris_virginica
Isolepis Cernua,Isolepis_cernua,Grass (Ornamental),https://en.wikipedia.org/wiki/Isolepis_cernua
Jacaranda Mimosifolia,Jacaranda_mimosifolia,Tree,https://en.wikipedia.org/wiki/Jacaranda_mimosifolia
Jasminum Multiflorum,Jasminum_multiflorum,Vine,https://en.wikipedia.org/wiki/Jasminum_multiflorum
Jasminum Nitidum,NILL,Shrub,NILL
Jasminum Nudiflorum,Jasminum_nudiflorum,Shrub,https://en.wikipedia.org/wiki/Jasminum_nudiflorum
Jasminum Polyanthum,Jasminum_polyanthum,Vine,https://en.wikipedia.org/wiki/Jasminum_polyanthum
Jasminum Sambac,Jasminum_sambac,Shrub,https://en.wikipedia.org/wiki/Jasminum_sambac
Jatropha Integerrima,Jatropha_integerrima,Shrub,https://en.wikipedia.org/wiki/Jatropha_integerrima
Juglans Cinerea,Juglans_cinerea,Tree,https://en.wikipedia.org/wiki/Juglans_cinerea
Juglans Nigra,Juglans_nigra,Tree,https://en.wikipedia.org/wiki/Juglans_nigra
Juglans Regia,Juglans_regia,Tree,https://en.wikipedia.org/wiki/Juglans_regia
Juncus Effusus,Juncus_effusus,Grass (Ornamental),https://en.wikipedia.org/wiki/Juncus_effusus
Juncus Inflexus,NILL,Grass (Ornamental),NILL
Juncus Tenuis,Juncus_tenuis,Grass (Ornamental),https://en.wikipedia.org/wiki/Juncus_tenuis
Juniperus Conferta,Juniperus_conferta,Shrub,https://en.wikipedia.org/wiki/Juniperus_conferta
Juniperus Sabina,Juniperus_sabina,Shrub,https://en.wikipedia.org/wiki/Juniperus_sabina
