Acer_palmatum,"Some tolerate sun , but most prefer part shade , especially in hotter climate .",
Coreopsis_lanceolata,== Exposure == Coreopsis lanceolata thrives in full sun ( 4–6 hour of direct sunlight per day ) .,
Coreopsis_lanceolata,== Exposure == Coreopsis lanceolata thrives in full sun ( 4–6 hour of direct sunlight per day ) .,
Hydrangea_quercifolia,Plants in shade have larger leaf than those grown in sun .,
Hydrangea_quercifolia,"It prefers partial to almost full shade , with morning sun and afternoon shade a optimal .",
Liriope_muscari,"In the United Kingdom L. muscari ha gained the Royal Horticultural Society 's Award of Garden Merit.The specie is easily grown in average , medium , well-drained soil in full sun to part shade .",
Nerium,"However loutish the American-born son of the family may be , there wa never one who refused to give his muscle to the back-breaking task of getting those tubbed tree down into the cellar in the fall and up into the sunlight in the spring .",
Salvia_guaranitica,"It grows in either full or three quarter sunlight , in well-drained soil .",
