Wiki link,common name,botanical name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
,Glossy Abelia,Abelia Grandiflora,1,1,0,0,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Abelia+Grandiflora,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291890&isprofile=1&basic=Glossy+Abelia,
,Kaleidoscope Abelia,Abelia Grandiflora,1,1,0,0,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Abelia+Grandiflora,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291890&isprofile=1&basic=Glossy+Abelia,
,Rose Creek Abelia,Abelia Grandiflora,1,1,0,0,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Abelia+Grandiflora,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291890&isprofile=1&basic=Glossy+Abelia,
,Japanese Maple,Acer Palmatum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Acer+Palmatum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275408&isprofile=1&basic=Acer+Palmatum,
,Shantung Maple,Acer Truncatum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Acer+Truncatum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275427&isprofile=1&basic=Acer+Truncatum,
,Red Buckeye,Aesculus Pavia,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Aesculus+Pavia,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281049&isprofile=1&basic=Aesculus+Pavia,
,,,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279003&isprofile=1&basic=,
,Artichoke Agave,Agave Parryi,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Agave+Parryi,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275753&isprofile=1&basic=Agave+Parryi,
,Aloe,Aloe Vera,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Aloe+Vera,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282195&isprofile=1&basic=Aloe+Vera,
,Flame Acanthus,Anisacanthus Quadrifidus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Anisacanthus+Quadrifidus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275348&isprofile=1&basic=Anisacanthus+Quadrifidus,
,Texas Gold Columbine,Aquiligia Chrysantha,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Aquiligia+Chrysantha,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275348&isprofile=1&basic=Anisacanthus+Quadrifidus,
,Foxtail Fern,Asparagus Densiflorus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Asparagus+Densiflorus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=262991&isprofile=1&basic=Asparagus+Densiflorus,
,Wavy Cloak Fern,Astrolepis Sinuata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Astrolepis+Sinuata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=262991&isprofile=1&basic=Asparagus+Densiflorus,
,Cross Vine,Bignonia Capreolata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Bignonia+Capreolata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=242332&isprofile=1&basic=Bignonia+Capreolata,
,Buffalo Grass,Buchloe Dactyloides,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Buchloe+Dactyloides,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285229&isprofile=1&basic=Buchloe+Dactyloides,
,Butterfly Bush,Buddleia Davidii,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Buddleia+Davidii,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=243248&isprofile=1&basic=Butterfly+Bush,
,Boxwood,Buxus Microphylla,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Buxus+Microphylla,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278322&isprofile=1&basic=Buxus+Microphylla,
,Common Boxwood,Buxus Sempervirens,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Buxus+Sempervirens,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=243283&isprofile=1&basic=Buxus+Sempervirens,
,Caladium,Caladium Bicolor,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Caladium+Bicolor,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276330&isprofile=1&basic=Caladium+Bicolor,
,American Beautyberry,Callicarpa Americana,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Callicarpa+Americana,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287477&isprofile=1&basic=Callicarpa+Americana,
,Horse Herb,Calyptocarpus Vialis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Calyptocarpus+Vialis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287477&isprofile=1&basic=Callicarpa+Americana,
,Berkeley Sedge,Carex Tumulicola,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Carex+Tumulicola,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=271796&isprofile=1&basic=Carex+Tumulicola,
,Pecan Tree,Carya Illinoinensis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Carya+Illinoinensis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281352&isprofile=1&basic=Carya+Illinoinensis,
,Eastern Redbud,Cercis Canadensis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Cercis+Canadensis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280440&isprofile=1&basic=Cercis+Canadensis,
,Texas Redbud,Cercis Canadensis var. texensis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Cercis+Canadensis+var.+texensis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=295726&isprofile=1&basic=Cercis+Canadensis+var.+texensis,
,Roman Chamomile,Chamaemelum Nobile,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Chamaemelum+Nobile,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277709&isprofile=1&basic=Chamaemelum+Nobile,
,Inland Sea Oats,Chasmanthium Latifolium,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Chasmanthium+Latifolium,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285270&isprofile=1&basic=Chasmanthium+Latifolium,
,Southern Sea Oats,Chasmanthium Sessiliflorum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Chasmanthium+Sessiliflorum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285270&isprofile=1&basic=Chasmanthium+Latifolium,
,Desert Willow,Chilopsis Linearis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Chilopsis+Linearis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=293766&isprofile=1&basic=Chilopsis+Linearis,
,Damianita,Chrysactinia Mexicana,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Chrysactinia+Mexicana,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=293766&isprofile=1&basic=Chilopsis+Linearis,
,Meyer Lemon,Citrus Meyeri,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Citrus+Meyeri,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=269587&isprofile=1&basic=Meyer+Lemon,
,Cordyline,Cordyline Australis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Cordyline+Australis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282400&isprofile=1&basic=Cordyline+Australis,
,Cordyline,Cordyline Fruticosa,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Cordyline+Fruticosa,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282057&isprofile=1&basic=Cordyline+Fruticosa,
,Coreopsis,Coreopsis Grandiflora,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Coreopsis+Grandiflora,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277711&isprofile=1&basic=Coreopsis+Grandiflora,
,Lanceleaf Coreopsis,Coreopsis Lanceolata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Coreopsis+Lanceolata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277306&isprofile=1&basic=Coreopsis+Lanceolata,
,Pink Coreopsis,Coreopsis Rosea,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Coreopsis+Rosea,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277575&isprofile=1&basic=Coreopsis+Rosea,
,Threadleaf Coreopsis,Coreopsis Verticillata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Coreopsis+Verticillata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277180&isprofile=1&basic=Coreopsis+Verticillata,
,Cilantro,Coriandrum Sativum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Coriandrum+Sativum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275984&isprofile=1&basic=Coriandrum+Sativum,
,Ginger,Costus Woodsonii,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Costus+Woodsonii,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287591&isprofile=1&basic=Ginger,
,Smoke Tree,Cotinus Coggygria,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Cotinus+Coggygria,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275949&isprofile=1&basic=Cotinus+Coggygria,
,Bermuda Grass,Cynodon Dactylon,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Cynodon+Dactylon,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=263601&isprofile=1&basic=Cynodon+Dactylon,
,Japanese Holly Fern,Cyrtomium Falcatum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Cyrtomium+Falcatum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285815&isprofile=1&basic=Cyrtomium+Falcatum,
,Fortune's Holly Fern,Cyrtomium Fortunei,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Cyrtomium+Fortunei,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285816&isprofile=1&basic=Cyrtomium+Fortunei,
,Snake Herb,Dyschoriste Linearis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Dyschoriste+Linearis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285816&isprofile=1&basic=Cyrtomium+Fortunei,
,Yellow Coneflower,Echinacea Paradoxa,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Echinacea+Paradoxa,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277421&isprofile=1&basic=Echinacea+Paradoxa,
,Purple Coneflower,Echinacea Purpurea,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Echinacea+Purpurea,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277422&isprofile=1&basic=Echinacea+Purpurea,
,Wintercreeper,Euonymus Fortunei,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Euonymus+Fortunei,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=274322&isprofile=1&basic=Euonymus+Fortunei,
,Hyssopleaf Thoroughwort,Eupatorium Hyssopifolium,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Eupatorium+Hyssopifolium,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=274322&isprofile=1&basic=Euonymus+Fortunei,
,Common Boneset,Eupatorium Perfoliatum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Eupatorium+Perfoliatum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277187&isprofile=1&basic=Eupatorium+Perfoliatum,
,Donkey Tail Spurge,Euphorbia Myrsinites,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Euphorbia+Myrsinites,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280087&isprofile=1&basic=Euphorbia+Myrsinites,
,Japanese Aralia,Fatsia Japonica,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Fatsia+Japonica,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276608&isprofile=1&basic=Fatsia+Japonica,
,Fiddleleaf Fig,Ficus Lyrata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Ficus+Lyrata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282753&isprofile=1&basic=Ficus+Lyrata,
,Gaura,Gaura Lindheimeri,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Gaura+Lindheimeri,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=283024&isprofile=1&basic=Gaura+Lindheimeri,
,Gerbera Daisy,Gerbera Jamesonii,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Gerbera+Jamesonii,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291914&isprofile=1&basic=Gerbera+Jamesonii,
,Giant Hesperaloe,Hesperaloe Funifera,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Hesperaloe+Funifera,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291914&isprofile=1&basic=Gerbera+Jamesonii,
,Red Yucca,Hesperaloe Parviflora,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Hesperaloe+Parviflora,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281957&isprofile=1&basic=Hesperaloe+Parviflora,
,Texas Star Hibiscus,Hibiscus Coccineus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Hibiscus+Coccineus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282585&isprofile=1&basic=Hibiscus+Coccineus,
,Rose of Sharon,Hibiscus Syriacus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Hibiscus+Syriacus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282593&isprofile=1&basic=Hibiscus+Syriacus,
,Hydrangea,Hydrangea Macrophylla,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Hydrangea+Macrophylla,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286874&isprofile=1&basic=Hydrangea+Macrophylla,
,Oakleaf Hydrangea,Hydrangea Quercifolia,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Hydrangea+Quercifolia,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286892&isprofile=1&basic=Hydrangea+Quercifolia,
,Creeping St. Johnswort,Hypericum Calycinum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Hypericum+Calycinum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279207&isprofile=1&basic=Hypericum+Calycinum,
,Possumhaw Holly,Ilex Decidua,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Ilex+Decidua,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276160&isprofile=1&basic=Ilex+Decidua,
,Yaupon Holly,Ilex Vomitoria,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Ilex+Vomitoria,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276157&isprofile=1&basic=Ilex+Vomitoria,
,Common Jasmine,Jasminum Officinale,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Jasminum+Officinale,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282951&isprofile=1&basic=Jasminum+Officinale,
,Andorra Juniper,Juniperus Horizontalis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Juniperus+Horizontalis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279603&isprofile=1&basic=Juniperus+Horizontalis,
,Wichita Blue Juniper,Juniperus Scopulorum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Juniperus+Scopulorum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=249898&isprofile=1&basic=Juniperus+Scopulorum,
,Red Cedar,Juniperus Virginiana,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Juniperus+Virginiana,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279605&isprofile=1&basic=Juniperus+Virginiana,
,Crapemyrtle,Lagerstroemia Indica,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lagerstroemia+Indica,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282496&isprofile=1&basic=Lagerstroemia+Indica,
,Lantana,Lantana Camara,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lantana+Camara,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287443&isprofile=1&basic=Lantana+Camara,
,Texas Lantana,Lantana Urticoides,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lantana+Urticoides,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287443&isprofile=1&basic=Lantana+Camara,
,Lavender,Lavandula Angustifolia,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lavandula+Angustifolia,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281393&isprofile=1&basic=Lavandula+Angustifolia,
,Texas Sage,Leucophyllum Frutescens,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Leucophyllum+Frutescens,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287024&isprofile=1&basic=Leucophyllum+Frutescens,
,Liriope,Liriope Muscari,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Liriope+Muscari,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282388&isprofile=1&basic=Liriope+Muscari,
,Honeysuckle,Lonicera Japonica,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lonicera+Japonica,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=257115&isprofile=1&basic=Lonicera+Japonica,
,Privet Honeysuckle,Lonicera Pileata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lonicera+Pileata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=242538&isprofile=1&basic=Lonicera+Pileata,
,Coral Honeysuckle,Lonicera Sempervirens,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lonicera+Sempervirens,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278967&isprofile=1&basic=Lonicera+Sempervirens,
,Red Honeysuckle,Lonicera Tatarica,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lonicera+Tatarica,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278951&isprofile=1&basic=Lonicera+Tatarica,
,Money Plant,Lunaria Annua,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lunaria+Annua,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278072&isprofile=1&basic=Lunaria+Annua,
,Bluebonnet,Lupinus Texensis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lupinus+Texensis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278072&isprofile=1&basic=Lunaria+Annua,
,Deciduous Magnolia,Magnolia Soulangeana,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Magnolia+Soulangeana,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278072&isprofile=1&basic=Lunaria+Annua,
,Turk's Cap,Malvaviscus Arboreus var. drummondii,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Malvaviscus+Arboreus+var.+drummondii,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278072&isprofile=1&basic=Lunaria+Annua,
,Black Foot Daisy,Melampodium Leucanthum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Melampodium+Leucanthum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278072&isprofile=1&basic=Lunaria+Annua,
,Lemon Balm,Melissa Officinalis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Melissa+Officinalis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281399&isprofile=1&basic=Melissa+Officinalis,
,Spearmint,Mentha Spicata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Mentha+Spicata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=257307&isprofile=1&basic=Mentha+Spicata,
,Maiden Grass,Miscanthus Sinensis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Miscanthus+Sinensis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285333&isprofile=1&basic=Miscanthus+Sinensis,
,Zebra Grass,Miscanthus Sinensis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Miscanthus+Sinensis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285333&isprofile=1&basic=Miscanthus+Sinensis,
,Hairawn Muhly,Muhlenbergia Capillaris,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Muhlenbergia+Capillaris,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285282&isprofile=1&basic=Muhlenbergia+Capillaris,
,Pink Muhly Grass,Muhlenbergia Capillaris,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Muhlenbergia+Capillaris,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285282&isprofile=1&basic=Muhlenbergia+Capillaris,
,Muhly Grass,Muhlenbergia Dumosa,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Muhlenbergia+Dumosa,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=293631&isprofile=1&basic=Muhly+Grass,
,Big Muhly Grass,Muhlenbergia Lindheimeri,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Muhlenbergia+Lindheimeri,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=293631&isprofile=1&basic=Muhly+Grass,
