Wiki link,common name,botanical name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
,Pussy Willow,Salix Discolor,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Salix+Discolor,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286783&isprofile=1&basic=Salix+Discolor,
,Painted-Tongue,Salpiglossis Sinuata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Salpiglossis+Sinuata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286783&isprofile=1&basic=Salix+Discolor,
,Silver Sage,Salvia Argentea,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Salvia+Argentea,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281419&isprofile=1&basic=Salvia+Argentea,
,Cherry Red Sage,Salvia Coccinea,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Salvia+Coccinea,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=259588&isprofile=1&basic=Salvia+Coccinea,
,Salad Burnet,Sanguisorba Minor,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sanguisorba+Minor,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286366&isprofile=1&basic=Sanguisorba+Minor,
,Snake Plant,Sansevieria Trifasciata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sansevieria+Trifasciata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282219&isprofile=1&basic=Sansevieria+Trifasciata,
,Creeping Zinnia,Sanvitalia Procumbens,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sanvitalia+Procumbens,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277355&isprofile=1&basic=Sanvitalia+Procumbens,
,Rock Soapwart,Saponaria Ocymoides,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Saponaria+Ocymoides,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279101&isprofile=1&basic=Saponaria+Ocymoides,
,Pitcher Plant,Sarracenia Purpurea,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sarracenia+Purpurea,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291982&isprofile=1&basic=Sarracenia+Purpurea,
,Lizard's Tail,Saururus Cernuus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Saururus+Cernuus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286856&isprofile=1&basic=Saururus+Cernuus,
,Pincushion Flower,Scabiosa Columbaria,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Scabiosa+Columbaria,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=255979&isprofile=1&basic=Pincushion+Flower,
,Schefflera,Schefflera Arboricola,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Schefflera+Arboricola,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276622&isprofile=1&basic=Schefflera+Arboricola,
,Wood Squill,Scilla Siberica,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Scilla+Siberica,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281913&isprofile=1&basic=Scilla+Siberica,
,Goldmoss Stonecrop,Sedum Acre,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sedum+Acre,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279378&isprofile=1&basic=Sedum+Acre,
,White Stonecrop,Sedum Album,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sedum+Album,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279379&isprofile=1&basic=Sedum+Album,
,White Stonecrop,Sedum Album,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sedum+Album,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279379&isprofile=1&basic=Sedum+Album,
,Corsican Stonecrop,Sedum Dasyphyllum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sedum+Dasyphyllum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279379&isprofile=1&basic=Sedum+Album,
,Pacific Stonecrop,Sedum Divergens,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Sedum+Divergens,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279379&isprofile=1&basic=Sedum+Album,
