Botanical Name,Page Name,Category,Wikilink,,
Ilex Decidua,Ilex_decidua,Tree,https://en.wikipedia.org/wiki/Ilex_decidua,,
Ilex Vomitoria,Ilex_vomitoria,Shrub,https://en.wikipedia.org/wiki/Ilex_vomitoria,,
Jasminum Officinale,Jasminum_officinale,Vine,https://en.wikipedia.org/wiki/Jasminum_officinale,,
Juniperus Horizontalis,Juniperus_horizontalis,Shrub,https://en.wikipedia.org/wiki/Juniperus_horizontalis,,
Juniperus Scopulorum,Juniperus_scopulorum,Tree,https://en.wikipedia.org/wiki/Juniperus_scopulorum,,
Juniperus Virginiana,Juniperus_virginiana,Shrub,https://en.wikipedia.org/wiki/Juniperus_virginiana,,
Lagerstroemia Indica,Lagerstroemia_indica,Tree,https://en.wikipedia.org/wiki/Lagerstroemia_indica,,
Lantana Camara,Lantana_camara,Perennial,https://en.wikipedia.org/wiki/Lantana_camara,,
Lantana Urticoides,Lantana_urticoides,Perennial,https://en.wikipedia.org/wiki/Lantana_urticoides,,
Lavandula Angustifolia,Lavandula_angustifolia,Herb,https://en.wikipedia.org/wiki/Lavandula_angustifolia,,
Leucophyllum Frutescens,Leucophyllum_frutescens,House Plant,https://en.wikipedia.org/wiki/Leucophyllum_frutescens,,
Liriope Muscari,Liriope_muscari,Ground Cover,https://en.wikipedia.org/wiki/Liriope_muscari,,
Lonicera Japonica,Lonicera_japonica,Vine,https://en.wikipedia.org/wiki/Lonicera_japonica,,
Lonicera Pileata,Lonicera_pileata,Shrub,https://en.wikipedia.org/wiki/Lonicera_pileata,,
Lonicera Sempervirens,Lonicera_sempervirens,Vine,https://en.wikipedia.org/wiki/Lonicera_sempervirens,,
Lonicera Tatarica,Lonicera_tatarica,Shrub,https://en.wikipedia.org/wiki/Lonicera_tatarica,,
Lunaria Annua,Lunaria_annua,Perennial,https://en.wikipedia.org/wiki/Lunaria_annua,,
Lupinus Texensis,Lupinus_texensis,Annual,https://en.wikipedia.org/wiki/Lupinus_texensis,,
Magnolia Soulangeana,Magnolia_×_soulangeana,Tree,https://en.wikipedia.org/wiki/Magnolia_%C3%97_soulangeana,,
Malvaviscus Arboreus var. drummondii,NILL,NILL,NILL,NILL,
Melampodium Leucanthum,Melampodium_leucanthum,Perennial,https://en.wikipedia.org/wiki/Melampodium_leucanthum,,
Lemon Balm,Lemon_balm,Herb,https://en.wikipedia.org/wiki/Lemon_balm,Melissa Officinalis,
Spearmint,Spearmint,Herb,https://en.wikipedia.org/wiki/Spearmint,Mentha Spicata,
Miscanthus Sinensis,Miscanthus_sinensis,Grass (Ornamental),https://en.wikipedia.org/wiki/Miscanthus_sinensis,,
Muhlenbergia Capillaris,Muhlenbergia_capillaris,Grass (Ornamental),https://en.wikipedia.org/wiki/Muhlenbergia_capillaris,,
Muhlenbergia Dumosa,Muhlenbergia_dumosa,Grass (Ornamental),https://en.wikipedia.org/wiki/Muhlenbergia_dumosa,,
Muhlenbergia Lindheimeri,Muhlenbergia_lindheimeri,Grass (Ornamental),https://en.wikipedia.org/wiki/Muhlenbergia_lindheimeri,,
Myrica Cerifera,Myrica_cerifera,Tree,https://en.wikipedia.org/wiki/Myrica_cerifera,,
Nandina,Nandina,Shrub,https://en.wikipedia.org/wiki/Nandina,Nandina Domestica,
Nassella Tenuissima,Nassella_tenuissima,Grass (Ornamental),https://en.wikipedia.org/wiki/Nassella_tenuissima,,
Nephrolepis Exaltata,Nephrolepis_exaltata,Fern,https://en.wikipedia.org/wiki/Nephrolepis_exaltata,,
Nerium Oleander,Nerium,House Plant,https://en.wikipedia.org/wiki/Nerium,,
