Botanical Name,
Dicranopteris pectinata,
Dicranopteris rubiginosa,
Dicranoweisia cirrata,
Dicranoweisia crispula,
Dicranum acutifolium,
Dicranum angustum,
Dicranum bonjeanii,
Dicranum brevifolium,
Dicranum condensatum,
Dicranum elongatum,
Dicranum flagellare,
Dicranum fragilifolium,
Dicranum fulvum,
Dicranum fuscescens,
Dicranum groenlandicum,
Dicranum howellii,
Dicranum latifolium,
Dicranum leioneuron,
Dicranum majus,
Dicranum montanum,
Dicranum muehlenbeckii,
Dicranum ontariense,
Dicranum pallidisetum,
Dicranum polysetum,
Dicranum rhabdocarpum,
Dicranum scoparium,
Dicranum spadiceum,
Dicranum spurium,
Dicranum tauricum,
Dicranum undulatum,
Dicranum viride,
Dictamnus albus,
Dictyonema glabratum,
Dictyonema moorei,
Dictyonema sericeum,
Didiplis diandra,
Didymodon asperifolius,
Didymodon fallax,
Didymodon johansenii,
Didymodon leskeoides,
Didymodon maximus,
Didymodon michiganensis,
Didymodon nevadensis,
Didymodon nigrescens,
Didymodon norrisii,
Didymodon perobtusus,
Didymodon reedii,
Didymodon revolutus,
Didymodon rigidulus,
Didymodon subandreaeoides,
Didymodon tophaceus,
Didymodon vinealis,
Didymoplexis fimbriata,
Didymoplexis micradenia,
Diectomis fastigiata,
Dieffenbachia seguine,
Diellia erecta,
Diellia falcata,
Diellia laciniata,
Diellia lauii,
Diellia leucostegioides,
Diellia mannii,
Diellia pallida,
Diellia pumila,
Diellia unisora,
Dienia volkensii,
Diervilla lonicera,
Diervilla rivularis,
Diervilla sessilifolia,
Dietes grandiflora,
Dietes irioides,
Digera muricata,
Digitalis ferruginea,
Digitalis grandiflora,
Digitalis lanata,
Digitalis lutea,
Digitalis mariana,
Digitalis purpurea,
Digitaria abyssinica,
Digitaria aequiglumis,
Digitaria arenicola,
Digitaria argillacea,
Digitaria argyrograpta,
Digitaria bicornis,
Digitaria brownii,
Digitaria californica,
Digitaria ciliaris,
Digitaria cognata,
Digitaria cruciata,
Digitaria debilis,
Digitaria diagonalis,
Digitaria didactyla,
Digitaria divaricatissima,
Digitaria diversinervis,
Digitaria dolichophylla,
Digitaria eggersii,
Digitaria eriantha,
Digitaria eriostachya,
Digitaria exilis,
Digitaria filiformis,
Digitaria floridana,
