Botanical Name,
Labordia fagraeoidea,
Labordia hedyosmifolia,
Labordia helleri,
Labordia hirtella,
Labordia hosakana,
Labordia kaalae,
Labordia lydgatei,
Labordia pumila,
Labordia sessilis,
Labordia tinifolia,
Labordia triflora,
Labordia venosa,
Labordia waialealae,
Labordia waiolani,
Laburnum alpinum,
Laburnum anagyroides,
Laburnum watereri,
Lachenalia reflexa,
Lachnanthes caroliana,
Lachnocaulon anceps,
Lachnocaulon beyrichianum,
Lachnocaulon digynum,
Lachnocaulon engleri,
Lachnocaulon minus,
Lactuca biennis,
Lactuca canadensis,
Lactuca floridana,
Lactuca graminifolia,
Lactuca hirsuta,
Lactuca indica,
Lactuca ludoviciana,
Lactuca morssii,
Lactuca saligna,
Lactuca sativa,
Lactuca serriola,
Lactuca tatarica,
Lactuca virosa,
Laelia harpophylla,
Laelia rubescens,
Laennecia coulteri,
Laennecia eriophylla,
Laennecia filaginoides,
Laennecia schiedeana,
Laennecia sophiifolia,
Laennecia turnerorum,
Laetia procera,
Laeviomyces pertusariicola,
Lagarosiphon major,
Lagascea decipiens,
Lagascea mollis,
Lagenaria siceraria,
Lagenocarpus guianensis,
Lagerstroemia indica,
Lagerstroemia speciosa,
Lagetta lagetto,
Lagophylla diabolensis,
Lagophylla dichotoma,
Lagophylla glandulosa,
Lagophylla minor,
Lagophylla ramosissima,
Lagotis glauca,
Lagotis minor,
Lagunaria patersonia,
Laguncularia racemosa,
Lagurus ovatus,
Lallemantia peltata,
Lamarckia aurea,
Lamiastrum galeobdolon,
Lamium album,
Lamium amplexicaule,
Lamium maculatum,
Lamium moluccellaefolium,
Lamium purpureum,
Lampranthus coccineus,
Lampranthus multiradiatus,
Lampranthus roseus,
Lampranthus vredenbergensis,
Lamprocapnos spectabilis,
Landolphia heudelotii,
Landolphia kirkii,
Landolphia mannii,
Landolphia owariensis,
Landoltia punctata,
Langloisia setosissima,
Lansium domesticum,
Lantana achyranthifolia,
Lantana camara,
Lantana canescens,
Lantana depressa,
Lantana exarata,
Lantana insularis,
Lantana involucrata,
Lantana montevidensis,
Lantana reticulata,
Lantana strigosa,
Lantana trifolia,
Lantana urticifolia,
Lantana urticoides,
Lantana velutina,
Laplacea portoricensis,
Laportea aestuans,
Laportea canadensis,
Laportea cuneata,
Laportea interrupta,
Laportea ruderalis,
Lappula cenchrusoides,
Lappula diploloma,
Lappula marginata,
Lappula occidentalis,
Lappula squarrosa,
Lapsana communis,
Lapsanastrum apogonoides,
Larix decidua,
Larix gmelinii,
Larix kaempferi,
Larix laricina,
Larix lyallii,
Larix marschlinsii,
Larix occidentalis,
Larix sibirica,
Larrea tridentata,
Lasallia papulosa,
Lasallia pensylvanica,
Lasallia pustulata,
Lasiacis divaricata,
Lasiacis grisebachii,
Lasiacis ligulata,
Lasiacis ruscifolia,
Lasiacis sloanei,
Lasiacis sorghoidea,
Lasianthaea podocephala,
Lasianthus lanceolatus,
Lasiospermum bipinnatum,
Lasiurus scindicus,
Lastarriaea coriacea,
Lasthenia burkei,
Lasthenia californica,
Lasthenia chrysantha,
Lasthenia conjugens,
Lasthenia coronaria,
Lasthenia debilis,
Lasthenia ferrisiae,
Lasthenia fremontii,
Lasthenia glaberrima,
Lasthenia glabrata,
Lasthenia gracilis,
Lasthenia leptalea,
Lasthenia maritima,
Lasthenia microglossa,
Lasthenia minor,
Lasthenia ornduffii,
Lasthenia platycarpha,
Lastreopsis effusa,
Lathrocasis tenerrima,
Lathyrus alpestris,
Lathyrus angulatus,
Lathyrus annuus,
Lathyrus aphaca,
Lathyrus biflorus,
Lathyrus bijugatus,
Lathyrus brachycalyx,
Lathyrus chloranthus,
Lathyrus cicera,
Lathyrus clymenum,
Lathyrus delnorticus,
Lathyrus eucosmus,
Lathyrus filiformis,
Lathyrus glandulosus,
Lathyrus gorgonei,
Lathyrus graminifolius,
Lathyrus grimesii,
Lathyrus hirsutus,
Lathyrus hitchcockianus,
