Botanical Name,
Guaiacum angustifolium,
Guaiacum officinale,
Guaiacum sanctum,
Guaiacum unijugum,
Guamia mariannae,
Guapira discolor,
Guapira fragrans,
Guapira globosa,
Guapira obtusata,
Guardiola platyphylla,
Guarea glabra,
Guarea guidonia,
Guatteria blainii,
Guatteria caribaea,
Guazuma ulmifolia,
Guettarda elliptica,
Guettarda krugii,
Guettarda odorata,
Guettarda ovalifolia,
Guettarda pungens,
Guettarda scabra,
Guettarda speciosa,
Guettarda valenzuelana,
Guibourtia coleosperma,
Guilleminea densa,
Guillenia flavescens,
Guillenia lasiophylla,
Guizotia abyssinica,
Gundelia tournefortii,
Gundlachia corymbosa,
Gunnera insignis,
Gunnera kauaiensis,
Gunnera manicata,
Gunnera petaloidea,
Gunnera tinctoria,
Gutierrezia arizonica,
Gutierrezia californica,
Gutierrezia elegans,
Gutierrezia microcephala,
Gutierrezia petradoria,
Gutierrezia sarothrae,
Gutierrezia serotina,
Gutierrezia sphaerocephala,
Gutierrezia texana,
Gutierrezia wrightii,
Guzmania berteroniana,
Guzmania erythrolepis,
Guzmania lingulata,
Guzmania monostachia,
Gyalecta erythrozona,
Gyalecta flotowii,
Gyalecta foveolaris,
Gyalecta friesii,
Gyalecta geoica,
Gyalecta herrei,
Gyalecta jenensis,
Gyalecta kukriensis,
Gyalecta peziza,
Gyalecta truncigena,
Gyalectidium filicinum,
Gyalidea hyalinescens,
Gyalidea lecideopsis,
Gyalidea roseola,
Gyalideopsis anastomosnas,
Gyalideopsis athalloides,
Gyalideopsis piceicola,
Gyalideopsis vainioi,
Gyminda latifolia,
Gymnadenia conopsea,
Gymnanthes lucida,
Gymnema sylvestre,
Gymnocarpium achriosporum,
Gymnocarpium appalachianum,
Gymnocarpium brittonianum,
Gymnocarpium disjunctum,
Gymnocarpium dryopteris,
Gymnocarpium heterosporum,
Gymnocarpium intermedium,
Gymnocarpium jessoense,
Gymnocarpium robertianum,
Gymnocladus dioicus,
Gymnocolea acutiloba,
Gymnocolea borealis,
Gymnocolea fascinifera,
Gymnocolea inflata,
Gymnoderma lineare,
Gymnomitrion apiculatum,
Gymnomitrion concinnatum,
Gymnomitrion corallioides,
Gymnomitrion laceratum,
Gymnomitrion mucrophorum,
Gymnomitrion obtusum,
Gymnomitrion pacificum,
Gymnopogon ambiguus,
Gymnopogon brevifolius,
Gymnopogon chapmanianus,
Gymnopogon foliosus,
Gymnosiphon niveus,
Gymnosiphon papuanus,
Gymnosiphon sphaerocarpus,
Gymnosperma glutinosum,
Gymnosporia palauica,
Gymnosporia thompsonii,
Gymnosteris nudicaulis,
