Botanical Name,
Cuscuta epithymum,
Cuscuta erosa,
Cuscuta europaea,
Cuscuta exaltata,
Cuscuta fasciculata,
Cuscuta globulosa,
Cuscuta glomerata,
Cuscuta gronovii,
Cuscuta harperi,
Cuscuta howelliana,
Cuscuta indecora,
Cuscuta japonica,
Cuscuta leptantha,
Cuscuta megalocarpa,
Cuscuta mitriformis,
Cuscuta obtusiflora,
Cuscuta odontolepis,
Cuscuta pentagona,
Cuscuta plattensis,
Cuscuta polygonorum,
Cuscuta potosina,
Cuscuta reflexa,
Cuscuta rostrata,
Cuscuta runyonii,
Cuscuta salina,
Cuscuta sandwichiana,
Cuscuta squamata,
Cuscuta suaveolens,
Cuscuta suksdorfii,
Cuscuta tuberculata,
Cuscuta umbellata,
Cuscuta veatchii,
Cuscuta warneri,
Cusickiella douglasii,
Cusickiella quadricostata,
Cutandia divaricata,
Cutandia maritima,
Cutandia memphitica,
Cyamopsis tetragonoloba,
Cyanea aculeatiflora,
Cyanea acuminata,
Cyanea angustifolia,
Cyanea arborea,
Cyanea asarifolia,
Cyanea aspleniifolia,
Cyanea calycina,
Cyanea comata,
Cyanea copelandii,
Cyanea coriacea,
Cyanea crispa,
Cyanea cylindrocalyx,
Cyanea dolichopoda,
Cyanea dunbariae,
Cyanea duvalliorum,
Cyanea eleeleensis,
Cyanea elliptica,
Cyanea fauriei,
Cyanea fissa,
Cyanea floribunda,
Cyanea giffardii,
Cyanea glabra,
Cyanea grimesiana,
Cyanea habenata,
Cyanea hamatiflora,
Cyanea hardyi,
Cyanea hirtella,
Cyanea horrida,
Cyanea humboldtiana,
Cyanea kahiliensis,
Cyanea kolekoleensis,
Cyanea koolauensis,
Cyanea kuhihewa,
Cyanea kunthiana,
Cyanea lanceolata,
Cyanea leptostegia,
Cyanea lindseyana,
Cyanea linearifolia,
Cyanea lobata,
Cyanea longiflora,
Cyanea longissima,
Cyanea macrostegia,
Cyanea magnicalyx,
Cyanea mannii,
Cyanea maritae,
Cyanea marksii,
Cyanea mauiensis,
Cyanea mceldowneyi,
Cyanea membranacea,
Cyanea munroi,
Cyanea obtusa,
Cyanea parvifolia,
Cyanea pilosa,
Cyanea pinnatifida,
Cyanea platyphylla,
Cyanea pohaku,
Cyanea procera,
Cyanea profuga,
Cyanea purpurellifolia,
