Botanical Name,
Juncus texanus,
Juncus textilis,
Juncus tiehmii,
Juncus torreyi,
Juncus tracyi,
Juncus trifidus,
Juncus triformis,
Juncus triglumis,
Juncus trigonocarpus,
Juncus trilocularis,
Juncus tweedyi,
Juncus uncialis,
Juncus validus,
Juncus vaseyi,
Juncus xiphioides,
Jungermannia atrovirens,
Jungermannia borealis,
Jungermannia caespiticia,
Jungermannia confertissima,
Jungermannia crenuliformis,
Jungermannia evansii,
Jungermannia exsertifolia,
Jungermannia fossombronioides,
Jungermannia gracillima,
Jungermannia hyalina,
Jungermannia karl-muelleri,
Jungermannia leiantha,
Jungermannia obovata,
Jungermannia polaris,
Jungermannia pumila,
Jungermannia pyriflora,
Jungermannia rubra,
Jungermannia schusterana,
Jungermannia sphaerocarpa,
Jungermannia subelliptica,
Jungermannia subulata,
Juniperus arizonica,
Juniperus ashei,
Juniperus californica,
Juniperus cedrus,
Juniperus chinensis,
Juniperus coahuilensis,
Juniperus communis,
Juniperus conferta,
Juniperus deppeana,
Juniperus drupacea,
Juniperus excelsa,
Juniperus fassettii,
Juniperus flaccida,
Juniperus foetidissima,
Juniperus grandis,
Juniperus horizontalis,
Juniperus maritima,
Juniperus monosperma,
Juniperus occidentalis,
Juniperus osteosperma,
Juniperus oxycedrus,
Juniperus phoenicea,
Juniperus pinchotii,
Juniperus polycarpos,
Juniperus pseudosabina,
Juniperus rigida,
Juniperus sabina,
Juniperus scopulorum,
Juniperus squamata,
Juniperus virginiana,
Juniperus wallichiana,
Justicia adhatoda,
Justicia americana,
Justicia angusta,
Justicia betonica,
Justicia borinquensis,
Justicia brandegeeana,
Justicia californica,
Justicia candicans,
Justicia carnea,
Justicia carthagenensis,
Justicia comata,
Justicia cooleyi,
Justicia crassifolia,
Justicia culebritae,
Justicia lanceolata,
Justicia longii,
Justicia martinsoniana,
Justicia mirabiloides,
Justicia ovata,
Justicia pacifica,
Justicia pectoralis,
Justicia pilosella,
Justicia sonorae,
Justicia sphaerosperma,
Justicia spicigera,
Justicia turneri,
Justicia warnockii,
Justicia wrightii,
Kaempferia galanga,
Kaempferia rotunda,
Kaernefeltia californica,
Kaernefeltia merrillii,
Kalanchoe beauverdii,
Kalanchoe blossfeldiana,
Kalanchoe daigremontiana,
Kalanchoe delagoensis,
Kalanchoe fedtschenkoi,
Kalanchoe gastonis-bonnieri,
Kalanchoe integra,
Kalanchoe laciniata,
Kalanchoe laxiflora,
Kalanchoe marmorata,
Kalanchoe pinnata,
Kalimeris indica,
Kalimeris mongolica,
Kalinia obtusiflora,
Kallstroemia californica,
Kallstroemia grandiflora,
Kallstroemia hirsutissima,
Kallstroemia maxima,
Kallstroemia parviflora,
Kallstroemia perennans,
Kallstroemia pubescens,
Kalmia angustifolia,
Kalmia carolina,
Kalmia cuneata,
Kalmia hirsuta,
Kalmia latifolia,
Kalmia microphylla,
Kalmia polifolia,
Kalmiopsis fragrans,
Kalmiopsis leachiana,
Kalopanax septemlobus,
Kanaloa kahoolawensis,
Karroochloa curva,
Karroochloa purpurea,
Karschia inops,
Karwinskia humboldtiana,
Kayea pacifica,
Keckiella antirrhinoides,
Keckiella breviflora,
Keckiella cordifolia,
Keckiella corymbosa,
Keckiella lemmonii,
Keckiella rothrockii,
Keckiella ternata,
Kelloggia galioides,
Kelseya uniflora,
Kennedia nigricans,
Kennedia prostrata,
Kennedia rubicunda,
Kerria japonica,
Keteleeria evelyniana,
Keysseria erici,
Keysseria helenae,
Keysseria maviensis,
Khaya anthotheca,
Khaya senegalensis,
Kiaeria blyttii,
Kiaeria falcata,
Kiaeria glacialis,
Kiaeria starkei,
Kickxia elatine,
Kickxia spuria,
Kigelia africana,
Kirschsteiniothelia acerina,
Kirschsteiniothelia aethiops,
Kirschsteiniothelia maritima,
Kirschsteiniothelia recessa,
Kirschsteiniothelia thujina,
Kleinhovia hospita,
Kleinia anteuphorbium,
Knautia arvensis,
Kniphofia uvaria,
Koanophyllon dolicholepis,
Koanophyllon droserolepis,
Koanophyllon polyodon,
Koanophyllon solidaginifolium,
Koanophyllon villosum,
Kobresia myosuroides,
Kobresia sibirica,
Kobresia simpliciuscula,
Koeberlinia spinosa,
Koeleria asiatica,
Koeleria caudata,
Koeleria grandis,
Koeleria macrantha,
Koeleria vallesiana,
Koellensteinia graminea,
Koelreuteria bipinnata,
Koelreuteria elegans,
Koelreuteria paniculata,
Koenigia islandica,
Koerberia biformis,
Koerberia sonomensis,
Koerberiella wimmeriana,
Kohleria eriantha,
Kohlmeyera complicatula,
Kokia cookei,
Kokia drynarioides,
Kokia kauaiensis,
Kokia lanceolata,
Kolkwitzia amabilis,
Kopsia flavida,
Korthalsella complanata,
Korthalsella cylindrica,
Korthalsella degeneri,
Korthalsella latissima,
Korthalsella platycaula,
Korthalsella remyana,
Kosteletzkya depressa,
Kosteletzkya virginica,
Krameria erecta,
Krameria grayi,
Krameria ixine,
Krameria lanceolata,
Krameria ramosissima,
Krapovickasia physaloides,
Krascheninnikovia arborescens,
Krascheninnikovia ceratoides,
Krascheninnikovia lanata,
Krigia biflora,
Krigia caespitosa,
Krigia dandelion,
Krigia montana,
Krigia occidentalis,
Krigia virginica,
Krigia wrightii,
Krugiodendron ferreum,
Kumlienia cooleyae,
Kumlienia hystricula,
Kummerowia stipulacea,
Kummerowia striata,
Kunzea ambigua,
Kunzea baxteri,
Kunzea ericoides,
Kunzea pomifera,
Kurzia makinoana,
Kurzia pauciflora,
Kurzia setacea,
Kurzia sylvatica,
Kyhosia bolanderi,
Kyllinga brevifolia,
Kyllinga gracillima,
Kyllinga nemoralis,
Kyllinga odorata,
Kyllinga pumila,
Kyllinga squamulata,
Kyllinga tibialis,
Kyllinga vaginata,
Lablab purpureus,
Labordia cyrtandrae,
Labordia degeneri,
