Botanical Name,
Carex richardsonii,
Carex roanensis,
Carex rollandii,
Carex rosea,
Carex rossii,
Carex rostrata,
Carex rotundata,
Carex rufina,
Carex rupestris,
Carex ruthii,
Carex sabulosa,
Carex salina,
Carex saliniformis,
Carex sardloqensis,
Carex sartwelliana,
Carex sartwellii,
Carex saxatilis,
Carex saxenii,
Carex saximontana,
Carex scabrata,
Carex scabriuscula,
Carex scaposa,
Carex schatzii,
Carex schiedeana,
Carex schottii,
Carex schweinitzii,
Carex scirpoidea,
Carex scoparia,
Carex scopulorum,
Carex secalina,
Carex sempervirens,
Carex senta,
Carex seorsa,
Carex serpenticola,
Carex serratodens,
Carex sheldonii,
Carex shinnersii,
Carex shortiana,
Carex siccata,
Carex silicea,
Carex simulata,
Carex socialis,
Carex soerensenii,
Carex sonomensis,
Carex sparganioides,
Carex specicola,
Carex specifica,
Carex spectabilis,
Carex spicata,
Carex spiculosa,
Carex spissa,
Carex sprengelii,
Carex squarrosa,
Carex stellata,
Carex stenocarpa,
Carex stenolepis,
Carex stenoptila,
Carex sterilis,
Carex stipata,
Carex straminea,
Carex straminiformis,
Carex striata,
Carex striatula,
Carex stricta,
Carex stygia,
Carex styloflexa,
Carex stylosa,
Carex subbracteata,
Carex suberecta,
Carex subfusca,
Carex subimpressa,
Carex subnigricans,
Carex subpaleacea,
Carex subrecta,
Carex subreducta,
Carex subsalina,
Carex subspathacea,
Carex subviridula,
Carex sullivantii,
Carex superata,
Carex supina,
Carex swanii,
Carex sychnocephala,
Carex sylvatica,
Carex tahoensis,
Carex tenax,
Carex tenera,
Carex teneriformis,
Carex tenuiflora,
Carex tetanica,
Carex tetrastachya,
Carex texensis,
Carex thornei,
Carex thunbergii,
Carex thurberi,
Carex timida,
Carex tincta,
Carex tiogana,
Carex tomentosa,
Carex tompkinsii,
Carex tonsa,
Carex torreyi,
Carex torta,
Carex triangularis,
Carex tribuloides,
Carex trichina,
Carex trichocarpa,
Carex triquetra,
Carex trisperma,
Carex tuckermanii,
Carex tumulicola,
Carex turbinata,
Carex turgescens,
Carex typhina,
Carex ultra,
Carex umbellata,
Carex unilateralis,
Carex ursina,
Carex utriculata,
Carex vacillans,
Carex vaginata,
Carex vallicola,
Carex venusta,
Carex vernacula,
Carex verrucosa,
Carex vesicaria,
Carex vestita,
Carex vexans,
Carex vicaria,
Carex virescens,
Carex viridistellata,
Carex viridula,
Carex vulpina,
Carex vulpinoidea,
Carex wahuensis,
Carex whitneyi,
Carex wiegandii,
Carex willdenowii,
Carex williamsii,
Carex woodii,
Carex wootonii,
Carex xanthocarpa,
Carex xerantica,
Carex xerophila,
Carex zahnii,
Carica monoica,
Carica papaya,
Carica pubescens,
Carica quercifolia,
Carissa carandas,
Carissa edulis,
Carissa macrocarpa,
Carlina vulgaris,
Carlowrightia arizonica,
Carlowrightia linearifolia,
Carlowrightia mexicana,
Carlowrightia parviflora,
Carlowrightia parvifolia,
Carlowrightia serpyllifolia,
Carlowrightia texana,
Carlowrightia torreyana,
Carlquistia muirii,
Carludovica palmata,
Carmichaelia williamsi,
Carminatia tenuiflora,
Carmona retusa,
Carnegiea gigantea,
Carpenteria californica,
Carphephorus bellidifolius,
Carphephorus carnosus,
Carphephorus corymbosus,
Carphephorus odoratissimus,
Carphephorus paniculatus,
Carphephorus pseudoliatris,
Carphephorus tomentosus,
Carphochaete bigelovii,
Carpinus betulus,
Carpinus caroliniana,
Carpinus coreana,
Carpobrotus acinaciformis,
Carpobrotus chilensis,
Carpobrotus edulis,
Carthamus lanatus,
Carthamus leucocaulos,
Carthamus oxyacanthus,
Carthamus tinctorius,
Carum carvi,
Carya aquatica,
Carya brownii,
Carya carolinae-septentrionalis,
Carya collina,
Carya cordiformis,
Carya demareei,
Carya dunbarii,
Carya floridana,
Carya glabra,
Carya illinoinensis,
Carya laciniosa,
Carya laneyi,
Carya lecontei,
Carya ludoviciana,
Carya myristiciformis,
Carya nussbaumeri,
Carya ovalis,
Carya ovata,
Carya pallida,
Carya schneckii,
Carya texana,
Carya tomentosa,
Caryocar amygdaliferum,
Caryocar brasiliense,
Caryocar nuciferum,
Caryopteris clandonensis,
Caryota mitis,
Caryota urens,
Casasia clusiifolia,
Casearia aculeata,
Casearia arborea,
Casearia decandra,
Casearia guianensis,
Casearia hirtella,
Casearia nitida,
Casearia sylvestris,
Casimiroa edulis,
Casimiroa tetrameria,
Cassia abbreviata,
Cassia afrofistula,
Cassia auriculata,
Cassia australis,
Cassia brewsteri,
Cassia fistula,
Cassia grandis,
Cassia javanica,
Cassia leptophylla,
Cassia roxburghii,
Cassia sturtii,
Cassine xylocarpa,
Cassiope lycopodioides,
Cassiope mertensiana,
Cassiope tetragona,
Cassipourea guianensis,
Cassytha filiformis,
Castalis tragus,
Castanea crenata,
Castanea dentata,
Castanea mollissima,
Castanea neglecta,
Castanea pumila,
Castanea sativa,
Castanopsis sclerophylla,
