Botanical Name,
Antennaria corymbosa,
Antennaria densifolia,
Antennaria dimorpha,
Antennaria dioica,
Antennaria erigeroides,
Antennaria flagellaris,
Antennaria foliacea,
Antennaria friesiana,
Antennaria geyeri,
Antennaria howellii,
Antennaria lanata,
Antennaria luzuloides,
Antennaria macounii,
Antennaria marginata,
Antennaria media,
Antennaria microphylla,
Antennaria monocephala,
Antennaria neglecta,
Antennaria oblancifolia,
Antennaria parlinii,
Antennaria parvifolia,
Antennaria plantaginifolia,
Antennaria pulchella,
Antennaria pulcherrima,
Antennaria racemosa,
Antennaria rosea,
Antennaria rosulata,
Antennaria soliceps,
Antennaria solitaria,
Antennaria stenophylla,
Antennaria suffrutescens,
Antennaria umbrinella,
Antennaria virginica,
Antenoron neofiliforme,
Anthaenantia rufa,
Anthaenantia villosa,
Anthelia julacea,
Anthelia juratzkana,
Anthemis altissima,
Anthemis arvensis,
Anthemis austriaca,
Anthemis cotula,
Anthemis secundiramea,
Anthemis tinctoria,
Anthephora hermaphrodita,
Anthephora pubescens,
Antheropeas lanosum,
Antheropeas wallacei,
Anthoceros adscendens,
Anthoceros agrestis,
Anthoceros donnelli,
Anthoceros fusiformis,
Anthoceros lamellatus,
Anthoceros macounii,
Anthoceros punctatus,
Anthoceros scariosus,
Anthoxanthum aristatum,
Anthoxanthum monticola,
Anthoxanthum odoratum,
Anthracothecium canellae-albae,
Anthracothecium nanum,
Anthracothecium prasinum,
Anthracothecium staurosporum,
Anthracothecium subglobosum,
Anthracothecium varians,
Anthriscus caucalis,
Anthriscus cerefolium,
Anthriscus sylvestris,
Anthurium andraeanum,
Anthurium cordatum,
Anthurium crenatum,
Anthurium dominicense,
Anthurium palmatum,
Anthurium scandens,
Anthurium selloum,
Anthyllis cornicina,
Anthyllis cytisoides,
Anthyllis lotoides,
Anthyllis vulneraria,
Antidaphne wrightii,
Antidesma bunius,
Antidesma dallachyanum,
Antidesma kapuae,
Antidesma platyphyllum,
Antidesma pulvinatum,
