Botanical Name,
Glyptopleura marginata,
Glyptopleura setulosa,
Gmelina arborea,
Gmelina asiatica,
Gmelina elliptica,
Gmelina palawensis,
Gmelina philippensis,
Gnaphalium exilifolium,
Gnaphalium palustre,
Gnaphalium polycaulon,
Gnaphalium uliginosum,
Gnetum africanum,
Gnetum buchholzianum,
Gnetum gnemon,
Gochnatia hypoleuca,
Goetzea elegans,
Gollania turgens,
Gomidesia lindeniana,
Gomphillus americanus,
Gomphrena caespitosa,
Gomphrena globosa,
Gomphrena haageana,
Gomphrena martiana,
Gomphrena nealleyi,
Gomphrena nitida,
Gomphrena serrata,
Gomphrena sonorae,
Gongylia muscorum,
Goniothalamus carolinensis,
Gonocalyx concolor,
Gonocalyx portoricensis,
Gonocarpus acanthocarpus,
Gonocarpus chinensis,
Gonolobus stephanotrichus,
Gonzalagunia hirsuta,
Goodmania luteola,
Goodyera oblongifolia,
Goodyera pubescens,
Goodyera repens,
Goodyera tesselata,
Gordonia lasianthus,
Gossypianthus lanuginosus,
Gossypium arboreum,
Gossypium barbadense,
Gossypium hirsutum,
Gossypium sturtianum,
Gossypium thurberi,
Gossypium tomentosum,
Gouania hillebrandii,
Gouania lupuloides,
Gouania meyenii,
Gouania polygama,
Gouania vitifolia,
Govenia floridana,
Gracilariopsis chorda,
Graffenrieda ottoschulzii,
Grammitis aspleniifolia,
Grammitis baldwinii,
Grammitis cultrata,
Grammitis forbesiana,
Grammitis hanekeana,
Grammitis hessii,
Grammitis hookeri,
Grammitis liogieri,
Grammitis mollissima,
Grammitis nimbata,
Grammitis sherringii,
Grammitis taxifolia,
Grammitis tenella,
Grammitis trichomanoides,
Granulopyrenis hymnothora,
Graphidium aphthosae,
Graphina abaphoides,
Graphina acharii,
Graphina anguina,
Graphina antillarum,
Graphina babingtonii,
Graphina colliculosa,
Graphina columbina,
Graphina cypressi,
Graphina floridana,
Graphina incrustans,
Graphina intertexta,
Graphina leuconephala,
Graphina marescens,
Graphina parilis,
Graphina peplophora,
Graphina playtleuca,
Graphina scolectis,
Graphina sophisticascens,
Graphina subnitida,
Graphina substriatula,
Graphina subvirginalis,
Graphina virginea,
Graphina xylophaga,
Graphis afzelii,
Graphis anfractuosa,
Graphis aperiens,
Graphis botryosa,
Graphis caesiella,
Graphis candidata,
Graphis chromothecia,
Graphis desquamescens,
Graphis dumastioides,
Graphis elegans,
Graphis eulectra,
Graphis glaucescens,
Graphis grammatis,
Graphis haleana,
Graphis illiterata,
Graphis insidiosa,
Graphis intricata,
Graphis inversa,
Graphis leptocarpa,
Graphis leucopepla,
Graphis librata,
Graphis lineola,
Graphis lucifica,
Graphis lumbricina,
Graphis mosquitensis,
Graphis pavoniana,
Graphis platycarpella,
Graphis poitaeoides,
Graphis rimulosa,
Graphis rufula,
Graphis saxorum,
Graphis scripta,
Graphis striatula,
Graphis subamylacea,
Graphis subelegans,
Graphis subnitidula,
Graphis subparilis,
Graphis tenella,
Graphis turbulenta,
Graptopetalum bartramii,
Graptopetalum rusbyi,
Graptophyllum pictum,
Grateloupia asiatica,
Gratiola aurea,
Gratiola brevifolia,
Gratiola ebracteata,
Gratiola flava,
Gratiola floridana,
Gratiola graniticola,
Gratiola heterosepala,
Gratiola hispida,
Gratiola neglecta,
Gratiola officinalis,
Gratiola pilosa,
Gratiola quartermaniae,
Gratiola ramosa,
Gratiola virginiana,
Gratiola viscidula,
Grayia spinosa,
Grevillea banksii,
Grevillea crithmifolia,
Grevillea hilliana,
Grevillea leucopteris,
Grevillea paniculata,
Grevillea robusta,
Grewia asiatica,
Grewia avellana,
Grewia biloba,
Grewia crenata,
Grewia flava,
Grewia flavescens,
Grewia hexamita,
Grewia hornbyi,
Grewia occidentalis,
Grewia pachycalyx,
Grewia retinervis,
Grewia schinzii,
Grewia similis,
Grewia stolzii,
Grewia sulcata,
Grewia villosa,
Greyia radlkoferi,
Grimmia americana,
Grimmia anodon,
Grimmia anomala,
Grimmia arizonae,
Grimmia atrata,
Grimmia brevirostris,
Grimmia brittoniae,
Grimmia donniana,
Grimmia elatior,
Grimmia elongata,
Grimmia funalis,
Grimmia hamulosa,
Grimmia hartmanii,
Grimmia hermanii,
Grimmia incurva,
Grimmia laevigata,
Grimmia longirostris,
Grimmia mariniana,
Grimmia milleri,
Grimmia mollis,
Grimmia montana,
Grimmia moxleyi,
Grimmia olneyi,
Grimmia orbicularis,
Grimmia ovalis,
Grimmia pilifera,
Grimmia plagiopodia,
Grimmia poecilostoma,
Grimmia pulvinata,
Grimmia tenerrima,
Grimmia teretinervis,
Grimmia torngakiana,
Grimmia torquata,
Grimmia trichophylla,
Grimmia unicolor,
Grindelia acutifolia,
Grindelia adenodonta,
Grindelia arizonica,
Grindelia camporum,
Grindelia columbiana,
Grindelia decumbens,
Grindelia fastigiata,
Grindelia fraxinopratensis,
Grindelia grandiflora,
Grindelia havardii,
Grindelia hirsutula,
Grindelia howellii,
Grindelia inornata,
Grindelia integrifolia,
Grindelia laciniata,
Grindelia lanceolata,
Grindelia microcephala,
Grindelia nana,
Grindelia nuda,
Grindelia oolepis,
Grindelia oxylepis,
Grindelia papposa,
Grindelia pusilla,
Grindelia revoluta,
Grindelia scabra,
Grindelia squarrosa,
Grindelia stricta,
Grindelia subalpina,
Groutiella tomentosa,
Groutiella tumidula,
Grusonia aggeria,
Grusonia clavata,
Grusonia emoryi,
Grusonia grahamii,
Grusonia kunzei,
Grusonia parishii,
Grusonia pulchella,
Grusonia schottii,
