Botanical Name,
Harpagonella palmeri,
Harpagophytum procumbens,
Harpalejeunea ovata,
Harpalejeunea stricta,
Harpanthus drummondii,
Harpanthus flotovianus,
Harpanthus scutatus,
Harperocallis flava,
Harpullia arborea,
Harrimanella hypnoides,
Harrimanella stelleriana,
Harrisella porrecta,
Harrisia aboriginum,
Harrisia eriophora,
Harrisia fragrans,
Harrisia gracilis,
Harrisia martinii,
Harrisia pomanensis,
Harrisia portoricensis,
Harrisia simpsonii,
Hartwrightia floridana,
Hassea bacillosa,
Hasteola robertiorum,
Hasteola suaveolens,
Hastingsia alba,
Hastingsia bracteosa,
Hastingsia serpentinicola,
Hatiora gaertneri,
Havardia mexicana,
Havardia pallens,
Havardia sonorae,
Hawksworthiana peltigericola,
Hazardia brickellioides,
Hazardia cana,
Hazardia detonsa,
Hazardia orcuttii,
Hazardia squarrosa,
Hazardia stenolepis,
Hazardia whitneyi,
Hebe franciscana,
Hebe speciosa,
Hebe venustula,
Hebeclinium macrophyllum,
Hebestigma cubense,
Hecastocleis shockleyi,
Hechtia glomerata,
Hechtia texensis,
Hecistopteris pumila,
Hedeoma acinoides,
Hedeoma apiculata,
Hedeoma costata,
Hedeoma dentata,
Hedeoma diffusa,
Hedeoma drummondii,
Hedeoma hispida,
Hedeoma hyssopifolia,
Hedeoma mollis,
Hedeoma nana,
Hedeoma oblongifolia,
Hedeoma pilosa,
Hedeoma plicata,
Hedeoma pulcherrima,
Hedeoma pulegioides,
Hedeoma reverchonii,
Hedeoma todsenii,
Hedera caucasigena,
Hedera colchica,
Hedera helix,
Hedera hibernica,
Hedosyne ambrosiifolia,
Hedwigia ciliata,
Hedwigia detonsa,
Hedwigia stellata,
Hedychium coronarium,
Hedychium flavescens,
Hedychium gardnerianum,
Hedyosmum arborescens,
Hedyotis acuminata,
Hedyotis aimiriikensis,
Hedyotis centranthoides,
Hedyotis cookiana,
Hedyotis coriacea,
Hedyotis cornifolia,
Hedyotis cyanantha,
Hedyotis degeneri,
Hedyotis divaricata,
Hedyotis elatior,
Hedyotis fluviatilis,
Hedyotis flynnii,
Hedyotis foetida,
Hedyotis foggiana,
Hedyotis foliosa,
Hedyotis formosa,
Hedyotis fosbergii,
Hedyotis fruticulosa,
Hedyotis greenei,
Hedyotis hillebrandii,
Hedyotis intricata,
Hedyotis knudsenii,
Hedyotis korrorensis,
Hedyotis littoralis,
Hedyotis mannii,
Hedyotis megalantha,
Hedyotis parvula,
Hedyotis ponapensis,
Hedyotis rigida,
Hedyotis sachetiana,
Hedyotis scabridifolia,
Hedyotis schlechtendahliana,
Hedyotis st.-johnii,
Hedyotis strigulosa,
Hedyotis suborthogona,
Hedyotis terminalis,
Hedyotis tomentosa,
Hedyotis tryblium,
Hedyotis tuyamae,
Hedyotis vegrandis,
Hedyotis vestita,
Hedypnois cretica,
Hedysarum alpinum,
Hedysarum arcticum,
Hedysarum biebersteinii,
Hedysarum boreale,
Hedysarum candidum,
Hedysarum coronarium,
Hedysarum cyprium,
Hedysarum flexuosum,
Hedysarum fruticosum,
Hedysarum humile,
Hedysarum mongolicum,
Hedysarum multijugum,
Hedysarum occidentale,
Hedysarum scoparium,
Hedysarum spinosissimum,
Hedysarum sulphurescens,
Hedysarum tauricum,
Hedysarum varium,
Hedysarum vicioides,
Heimia salicifolia,
Heisteria longipes,
Helenium amarum,
Helenium apterum,
Helenium arizonicum,
Helenium autumnale,
Helenium bigelovii,
Helenium bolanderi,
Helenium brevifolium,
Helenium campestre,
Helenium drummondii,
Helenium elegans,
Helenium flexuosum,
Helenium lanciniatum,
Helenium linifolium,
Helenium microcephalum,
Helenium pinnatifidum,
Helenium polyphyllum,
Helenium puberulum,
Helenium quadridentatum,
Helenium thurberi,
Helenium vernale,
Helenium virginicum,
Helianthella californica,
Helianthella castanea,
Helianthella microcephala,
Helianthella parryi,
Helianthella quinquenervis,
Helianthella uniflora,
Helianthemum arenicola,
Helianthemum bicknellii,
Helianthemum canadense,
Helianthemum carolinianum,
Helianthemum corymbosum,
Helianthemum dumosum,
Helianthemum georgianum,
Helianthemum glomeratum,
Helianthemum greenei,
Helianthemum nashii,
Helianthemum nummularium,
Helianthemum propinquum,
Helianthemum rosmarinifolium,
Helianthemum salicifolium,
Helianthemum scoparium,
Helianthus agrestis,
Helianthus ambiguus,
Helianthus angustifolius,
Helianthus annuus,
Helianthus anomalus,
Helianthus argophyllus,
Helianthus arizonensis,
Helianthus atrorubens,
Helianthus bolanderi,
Helianthus brevifolius,
Helianthus californicus,
Helianthus carnosus,
Helianthus ciliaris,
Helianthus cinereus,
Helianthus cusickii,
Helianthus debilis,
Helianthus decapetalus,
Helianthus divaricatus,
Helianthus divariserratus,
Helianthus doronicoides,
Helianthus eggertii,
Helianthus floridanus,
Helianthus giganteus,
Helianthus glaucophyllus,
Helianthus glaucus,
Helianthus gracilentus,
Helianthus grosseserratus,
Helianthus heterophyllus,
Helianthus hirsutus,
Helianthus intermedius,
Helianthus kellermanii,
Helianthus laciniatus,
Helianthus laetiflorus,
Helianthus laevigatus,
Helianthus longifolius,
Helianthus luxurians,
Helianthus maximiliani,
Helianthus microcephalus,
Helianthus mollis,
Helianthus multiflorus,
Helianthus neglectus,
Helianthus niveus,
Helianthus nuttallii,
Helianthus occidentalis,
Helianthus orgyaloides,
Helianthus paradoxus,
Helianthus pauciflorus,
Helianthus petiolaris,
Helianthus porteri,
Helianthus praecox,
Helianthus praetermissus,
Helianthus pumilus,
Helianthus radula,
Helianthus resinosus,
Helianthus salicifolius,
Helianthus schweinitzii,
Helianthus silphioides,
Helianthus simulans,
Helianthus smithii,
Helianthus strumosus,
Helianthus tuberosus,
Helianthus verticillatus,
Helichrysum foetidum,
Helichrysum formosissimum,
Helichrysum petiolare,
Heliconia aurantiaca,
Heliconia bihai,
Heliconia caribaea,
