Botanical Name,
Bertholletia excelsa,
Berula erecta,
Besseya alpina,
Besseya arizonica,
Besseya bullii,
Besseya oblongifolia,
Besseya plantaginea,
Besseya ritteriana,
Besseya rubra,
Besseya wyomingensis,
Bestia longipes,
Beta adanensis,
Beta atriplicifolia,
Beta lomatogona,
Beta nana,
Beta patellaris,
Beta patula,
Beta procumbens,
Beta trigyna,
Beta trojana,
Beta vulgaris,
Betula alleghaniensis,
Betula alpestris,
Betula borealis,
Betula caerulea,
Betula dugleana,
Betula dutillyi,
Betula eastwoodiae,
Betula glandulosa,
Betula hornei,
Betula jackii,
Betula lenta,
Betula maximowicziana,
Betula michauxii,
Betula minor,
Betula murrayana,
Betula nana,
Betula neoalaskana,
Betula neoborealis,
Betula nigra,
Betula occidentalis,
Betula papyrifera,
Betula pendula,
Betula platyphylla,
Betula populifolia,
Betula pubescens,
Betula pumila,
Betula purpusii,
Betula raymundii,
Betula sandbergii,
Betula sargentii,
Betula szechuanica,
Betula uber,
Betula utahensis,
Betula winteri,
Biatora albohyalina,
Biatora anthracophila,
Biatora botryosa,
Biatora chrysantha,
Biatora cuprea,
Biatora efflorescens,
Biatora flavopunctata,
Biatora helvola,
Biatora meiocarpa,
Biatora porphyrospoda,
Biatora rufidula,
Biatora subduplex,
Biatora toensbergii,
Biatora turgidula,
Biatora vacciniicola,
Biatora vernalis,
Biatorella cyphalea,
Biatorella floridensis,
Biatorella hemisphaerica,
Biatorella plicata,
Biatorella rappii,
Biatoropsis usnearum,
Bidens alba,
Bidens amplectens,
Bidens amplissima,
Bidens aristosa,
Bidens asymmetrica,
Bidens aurea,
Bidens beckii,
Bidens bidentoides,
Bidens bigelovii,
Bidens bipinnata,
Bidens campylotheca,
Bidens cernua,
Bidens cervicata,
Bidens conjuncta,
Bidens connata,
Bidens coronata,
Bidens cosmoides,
Bidens cuneata,
Bidens cynapiifolia,
Bidens discoidea,
Bidens eatonii,
Bidens ferulifolia,
Bidens forbesii,
Bidens frondosa,
Bidens gardneri,
Bidens hawaiensis,
Bidens heterodoxa,
Bidens heterosperma,
Bidens hillebrandiana,
Bidens hyperborea,
Bidens laevis,
Bidens lemmonii,
Bidens leptocephala,
Bidens macrocarpa,
Bidens mauiensis,
Bidens menziesii,
Bidens micrantha,
Bidens mitis,
Bidens molokaiensis,
Bidens multiceps,
Bidens pilosa,
Bidens populifolia,
Bidens reptans,
Bidens sandvicensis,
Bidens squarrosa,
Bidens tenuisecta,
Bidens torta,
Bidens tripartita,
Bidens valida,
Bidens vulgata,
Bidens wiebkei,
Bifora americana,
Bifora radians,
Bifora testiculata,
Bigelowia nudata,
Bigelowia nuttallii,
Bignonia capreolata,
Bikkia palauensis,
Bikkia tetrandra,
Billbergia pyramidalis,
Billieturnera helleri,
Bischofia javanica,
Biserrula pelecinus,
Bituminaria bituminosa,
Bixa orellana,
Blasia pusilla,
Blechnum appendiculatum,
Blechnum chordatum,
Blechnum divergens,
Blechnum fragile,
Blechnum insularum,
Blechnum lineatum,
Blechnum occidentale,
Blechnum orientale,
Blechnum polypodioides,
Blechnum serrulatum,
Blechnum spicant,
Blechnum underwoodianum,
Blechnum vulcanicum,
Blechum pyramidatum,
Blennosperma bakeri,
Blennosperma nanum,
Blepharidachne bigelovii,
Blepharidachne kingii,
Blepharipappus scaber,
Blepharizonia laxa,
Blepharizonia plumosa,
Blepharoneuron tricholepis,
Blepharostoma arachnoideum,
Blepharostoma trichophyllum,
Blephilia ciliata,
Blephilia hirsuta,
Blephilia subnuda,
Bletia florida,
Bletia patula,
Bletia purpurea,
Bletilla striata,
Blighia sapida,
Blindia acuta,
Bloomeria crocea,
Bloomeria humilis,
Blumea balsamifera,
Blumea hieraciifolia,
Blumea lacera,
Blumea laciniata,
Blumea sessiliflora,
Blumea sinuata,
Blumea viscosa,
Blutaparon vermiculare,
Blysmus rufus,
Blyxa aubertii,
Blyxa octandra,
Bobea brevipes,
Bobea elatior,
Bobea sandwicensis,
Bobea timonioides,
Bocconia frutescens,
Boehmeria celebica,
Boehmeria cylindrica,
Boehmeria densiflora,
Boehmeria grandis,
Boehmeria nivea,
Boehmeria repens,
Boerhavia acutifolia,
Boerhavia albiflora,
Boerhavia anisophylla,
Boerhavia coccinea,
Boerhavia coulteri,
Boerhavia diffusa,
Boerhavia erecta,
Boerhavia gracillima,
Boerhavia herbstii,
Boerhavia intermedia,
Boerhavia linearifolia,
Boerhavia mathisiana,
Boerhavia megaptera,
Boerhavia pterocarpa,
Boerhavia purpurascens,
Boerhavia repens,
Boerhavia scandens,
Boerhavia spicata,
Boerhavia tetrandra,
Boerhavia triquetra,
Boerhavia wrightii,
Boesenbergia rotunda,
Bolandra californica,
Bolandra oregana,
Bolbitis aliena,
Bolbitis nicotianifolia,
Bolbitis pergamentacea,
Bolbitis portoricensis,
Bolbitis quoyana,
Bolboschoenus fluviatilis,
Bolboschoenus glaucus,
Bolboschoenus maritimus,
Bolboschoenus novae-angliae,
Bolboschoenus robustus,
Boltonia apalachicolensis,
Boltonia asteroides,
Boltonia caroliniana,
Boltonia decurrens,
Boltonia diffusa,
Boltonia lautureana,
Boltonia montana,
Bomarea kalbreyeri,
Bombax ceiba,
Bommeria hispida,
Bonamia grandiflora,
Bonamia menziesii,
Bonamia ovalifolia,
Bonamia repens,
Bontia daphnoides,
Borago officinalis,
