Botanical Name,
Fragaria bringhurstii,
Fragaria cascadensis,
Fragaria chiloensis,
Fragaria vesca,
Fragaria virginiana,
Frangula alnus,
Frangula betulifolia,
Frangula blumeri,
Frangula californica,
Frangula caroliniana,
Frangula purshiana,
Frangula rubra,
Frangula sphaerosperma,
Frankenia jamesii,
Frankenia johnstonii,
Frankenia palmeri,
Frankenia pulverulenta,
Frankenia salina,
Franklinia alatamaha,
Frasera albicaulis,
Frasera albomarginata,
Frasera caroliniensis,
Frasera coloradensis,
Frasera fastigiata,
Frasera gypsicola,
Frasera montana,
Frasera neglecta,
Frasera paniculata,
Frasera parryi,
Frasera puberulenta,
Frasera speciosa,
Frasera tubulosa,
Fraxinus albicans,
Fraxinus americana,
Fraxinus anomala,
Fraxinus berlandieriana,
Fraxinus caroliniana,
Fraxinus chinensis,
Fraxinus cuspidata,
Fraxinus dipetala,
Fraxinus excelsior,
Fraxinus gooddingii,
Fraxinus greggii,
Fraxinus latifolia,
Fraxinus mandshurica,
Fraxinus mariesii,
Fraxinus nigra,
Fraxinus ornus,
Fraxinus papillosa,
Fraxinus pennsylvanica,
Fraxinus profunda,
Fraxinus quadrangulata,
Fraxinus uhdei,
Fraxinus velutina,
Freesia alba,
Freesia corymbosa,
Freesia laxa,
Fremontodendron californicum,
Fremontodendron decumbens,
Fremontodendron mexicanum,
Freycinetia arborea,
Freycinetia mariannensis,
Freycinetia ponapensis,
Freycinetia reineckei,
Freycinetia storckii,
Freycinetia villalobosii,
Friesodielsia obovata,
Fritillaria affinis,
Fritillaria agrestis,
Fritillaria atropurpurea,
Fritillaria biflora,
Fritillaria brandegeei,
Fritillaria camschatcensis,
Fritillaria eastwoodiae,
Fritillaria falcata,
Fritillaria gentneri,
Fritillaria glauca,
Fritillaria grayana,
Fritillaria imperialis,
Fritillaria liliacea,
Fritillaria meleagris,
Fritillaria micrantha,
Fritillaria ojaiensis,
Fritillaria pinetorum,
Fritillaria pluriflora,
Fritillaria pudica,
Fritillaria purdyi,
Fritillaria recurva,
Fritillaria striata,
Fritillaria viridea,
Froelichia arizonica,
Froelichia drummondii,
Froelichia floridana,
Froelichia gracilis,
Froelichia interrupta,
Frullania appalachiana,
Frullania arietina,
Frullania asagrayana,
Frullania bolanderi,
Frullania brittoniae,
Frullania californica,
Frullania catalinae,
Frullania chilcootiensis,
Frullania cobrensis,
Frullania cucullata,
Frullania donnellii,
Frullania eboracensis,
Frullania ericoides,
Frullania franciscana,
Frullania gibbosa,
Frullania gymnotis,
Frullania hattoriana,
Frullania inflata,
Frullania jackii,
Frullania kunzei,
Frullania nisquallensis,
Frullania oakesiana,
Frullania obcordata,
Frullania plana,
Frullania riojaneirensis,
Frullania riparia,
Frullania sabaliana,
Frullania selwyniana,
Frullania stylifera,
Frullania taxodiocola,
Frullanoides bahamensis,
Frullanoides corticalis,
Frutidella caesioatra,
Fryxellia pygmaea,
Fuchsia andrei,
Fuchsia arborescens,
Fuchsia boliviana,
Fuchsia hybrida,
Fuchsia magellanica,
Fuchsia paniculata,
Fuchsia vulcanica,
Fuirena breviseta,
Fuirena bushii,
Fuirena coerulescens,
Fuirena longa,
Fuirena pumila,
Fuirena robusta,
Fuirena scirpoidea,
Fuirena simplex,
Fuirena squarrosa,
Fuirena umbellata,
Fulgensia bracteata,
Fulgensia desertorum,
Fulgensia fulgens,
Fumaria bastardii,
Fumaria capreolata,
Fumaria occidentalis,
Fumaria officinalis,
Fumaria parviflora,
Fumaria reuteri,
Fumaria vaillantii,
Funaria americana,
Funaria apiculatopilosa,
Funaria arctica,
Funaria calvescens,
Funaria flavicans,
Funaria groutiana,
Funaria hygrometrica,
Funaria microstoma,
Funaria muhlenbergii,
Funaria polaris,
Funaria serrata,
