Botanical Name,
Lichenostigma elongata,
Lichenostigma maureri,
Lichenostigma rugosa,
Lichenothelia calcarea,
Lichenothelia convexa,
Lichenothelia intermixta,
Lichenothelia metzleri,
Lichenothelia scopularia,
Lichenothelia tenuissima,
Lichina confinis,
Lichina willeyi,
Lichinella americana,
Lichinella cribellifera,
Lichinella melamphylla,
Lichinella minnesotensis,
Lichinella nigritella,
Lichinella stipatula,
Lichinodium canadense,
Lichinodium saxicola,
Lichinodium sirosiphoideum,
Ligularia dentata,
Ligusticum apiifolium,
Ligusticum calderi,
Ligusticum californicum,
Ligusticum canadense,
Ligusticum canbyi,
Ligusticum filicinum,
Ligusticum grayi,
Ligusticum mutellina,
Ligusticum porteri,
Ligusticum scoticum,
Ligusticum tenuifolium,
Ligusticum verticillatum,
Ligustrum amurense,
Ligustrum ibota,
Ligustrum japonicum,
Ligustrum lucidum,
Ligustrum obtusifolium,
Ligustrum ovalifolium,
Ligustrum quihoui,
Ligustrum robustum,
Ligustrum sempervirens,
Ligustrum sinense,
Ligustrum tschonoskii,
Ligustrum vulgare,
Lilaea scilloides,
Lilaeopsis carolinensis,
Lilaeopsis chinensis,
Lilaeopsis masonii,
Lilaeopsis occidentalis,
Lilaeopsis schaffneriana,
Lilium bolanderi,
Lilium bulbiferum,
Lilium canadense,
Lilium candidum,
Lilium catesbaei,
Lilium columbianum,
Lilium concolor,
Lilium formosanum,
Lilium grayi,
Lilium henryi,
Lilium humboldtii,
Lilium iridollae,
Lilium kelleyanum,
Lilium kelloggii,
Lilium lancifolium,
Lilium longiflorum,
Lilium maritimum,
Lilium martagon,
Lilium michauxii,
Lilium michiganense,
Lilium occidentale,
Lilium pardalinum,
Lilium parryi,
Lilium parvum,
Lilium pensylvanicum,
Lilium philadelphicum,
Lilium philippinense,
Lilium pseudograyi,
Lilium pyrophilum,
Lilium regale,
Lilium rubescens,
Lilium superbum,
Lilium washingtonianum,
Limbella fryei,
Limnanthes alba,
Limnanthes bakeri,
Limnanthes douglasii,
Limnanthes floccosa,
Limnanthes gracilis,
Limnanthes macounii,
Limnanthes montana,
Limnanthes pumila,
Limnanthes striata,
Limnanthes vinculans,
Limnobium laevigatum,
Limnobium spongia,
Limnocharis flava,
Limnodea arkansana,
Limnophila aromatica,
Limnophila fragrans,
Limnophila indica,
Limnophila ludoviciana,
Limnophila sessiliflora,
Limnosciadium pinnatum,
Limnosciadium pumilum,
Limonia acidissima,
Limonium arborescens,
Limonium binervosum,
Limonium californicum,
Limonium carolinianum,
Limonium gerberi,
Limonium leptostachyum,
Limonium limbatum,
Limonium otolepis,
Limonium perezii,
Limonium ramosissimum,
Limonium reniforme,
Limonium sinuatum,
Limonium vulgare,
Limosella acaulis,
Limosella aquatica,
Limosella australis,
Limosella pubiflora,
Limprichtia cossonii,
Limprichtia revolvens,
Linanthus arenicola,
Linanthus bellus,
Linanthus bigelovii,
Linanthus caespitosus,
Linanthus campanulatus,
Linanthus concinnus,
Linanthus demissus,
Linanthus dianthiflorus,
Linanthus dichotomus,
Linanthus filiformis,
Linanthus glabrum,
Linanthus inyoensis,
Linanthus jaegeri,
Linanthus jonesii,
Linanthus killipii,
Linanthus maculatus,
Linanthus orcuttii,
Linanthus parryae,
Linanthus pungens,
Linanthus watsonii,
Linaria aeruginea,
Linaria angustissima,
Linaria bipartita,
Linaria dalmatica,
Linaria genistifolia,
Linaria incarnata,
Linaria maroccana,
Linaria pinifolia,
Linaria purpurea,
Linaria repens,
Linaria reticulata,
Linaria sepium,
Linaria spartea,
Linaria supina,
Linaria vulgaris,
Lindbergia brachyptera,
Lindbergia mexicana,
Lindelofia longiflora,
Lindera benzoin,
Lindera melissifolia,
Lindera subcoriacea,
Lindernia antipoda,
Lindernia brucei,
Lindernia ciliata,
Lindernia crustacea,
Lindernia diffusa,
Lindernia dubia,
Lindernia grandiflora,
Lindernia monticola,
Lindernia procumbens,
Lindernia viscosa,
Lindheimera texana,
Lindsaea ensifolia,
Lindsaea lancea,
Lindsaea lobata,
Lindsaea lucida,
Lindsaea obtusa,
Lindsaea portoricensis,
Lindsaea propinqua,
Lindsaea quadrangularis,
Lindsaea repens,
Lindsaea stricta,
Lindsaea tetragona,
Lindsaea walkerae,
Lindsaeosoria flynnii,
Linnaea borealis,
Linospadix monostachya,
Linum alatum,
Linum arenicola,
Linum aristatum,
Linum australe,
Linum austriacum,
Linum berlandieri,
Linum bienne,
Linum carteri,
Linum catharticum,
Linum compactum,
Linum elongatum,
Linum floridanum,
Linum grandiflorum,
Linum hudsonioides,
Linum imbricatum,
Linum intercursum,
Linum kingii,
Linum lewisii,
Linum lundellii,
Linum macrocarpum,
Linum medium,
Linum narbonense,
Linum neomexicanum,
Linum perenne,
Linum pratense,
Linum puberulum,
Linum rigidum,
Linum rupestre,
Linum schiedeanum,
Linum striatum,
Linum subteres,
Linum sulcatum,
Linum trigynum,
Linum usitatissimum,
Linum vernale,
Linum virginianum,
Linum westii,
Liparis dolichostachya,
Liparis elata,
Liparis guamensis,
Liparis harrisii,
Liparis hawaiensis,
Liparis jonesii,
Liparis liliifolia,
Liparis loeselii,
Liparis odorata,
Liparis palawensis,
Liparis saundersiana,
Liparis vexillifera,
Liparis yamadae,
Lipocarpha aristulata,
Lipocarpha drummondii,
Lipocarpha maculata,
Lipocarpha micrantha,
Lipocarpha occidentalis,
Lipocarpha rehmanii,
Lipochaeta bryanii,
